dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,none,liberatore,0.03295637573338668,0.03328926841756231,True
liberatore,none,herrmann,0.019751278902984042,0.01995078677069095,True
liberatore,none,panchenko,0.03388800233652651,0.034230305390430815,True
liberatore,none,vng++,0.09541693709962629,0.09638074454507707,True
liberatore,none,CUMUL,0.05594172428524803,0.05650679220732125,True
liberatore,session-random-gaussian,liberatore,0.4028981499849063,0.40696782826758215,True
liberatore,session-random-gaussian,herrmann,0.39046637059594974,0.3944104753494442,True
liberatore,session-random-gaussian,panchenko,0.22501090553045877,0.22728374296005938,True
liberatore,session-random-gaussian,vng++,0.13683103834083993,0.13821317004125244,True
liberatore,session-random-gaussian,CUMUL,0.062377135582948925,0.06300720765954437,True
liberatore,packet-random-gaussian,liberatore,0.5750332535005362,0.5808416702025618,True
liberatore,packet-random-gaussian,herrmann,0.6739110154987025,0.6807181974734368,True
liberatore,packet-random-gaussian,panchenko,0.06955767805146157,0.07026028086006218,True
liberatore,packet-random-gaussian,vng++,0.1014697672632385,0.10249471440731162,True
liberatore,packet-random-gaussian,CUMUL,0.059606359026684964,0.060208443461297945,True
liberatore,session-random-255,liberatore,0.1461678067380975,0.14764424923040154,True
liberatore,session-random-255,herrmann,0.08032401719246854,0.08113537090148337,True
liberatore,session-random-255,panchenko,0.12690822811050295,0.12819012940454844,True
liberatore,session-random-255,vng++,0.15418442175296818,0.1557418401545133,True
liberatore,session-random-255,CUMUL,0.0674079189186388,0.06808880698852404,True
liberatore,packet-random-255,liberatore,0.373045494034434,0.37681363033781207,True
liberatore,packet-random-255,herrmann,0.5923370335102116,0.5983202358689006,True
liberatore,packet-random-255,panchenko,0.07619724051542676,0.07696690961154218,True
liberatore,packet-random-255,vng++,0.1083504080409833,0.10944485660705384,True
liberatore,packet-random-255,CUMUL,0.06120398901857489,0.06182221112987363,True
liberatore,none,liberatore,0.06401997861724901,0.0646666450679283,True
liberatore,none,herrmann,0.05799892703924428,0.058584774787115435,True
liberatore,none,panchenko,0.0692198959577809,0.06991908682604131,True
liberatore,none,vng++,0.12550534992979862,0.1267730807371703,True
liberatore,none,CUMUL,0.09944455534761906,0.10044904580567582,True
liberatore,session-random-gaussian,liberatore,0.4090602440872204,0.41319216574466705,True
liberatore,session-random-gaussian,herrmann,0.4074435649655907,0.4115591565308997,True
liberatore,session-random-gaussian,panchenko,0.24051617762622787,0.24294563396588673,True
liberatore,session-random-gaussian,vng++,0.16782483618148636,0.1695200365469559,True
liberatore,session-random-gaussian,CUMUL,0.11136355641255123,0.11248844082075883,True
liberatore,packet-random-gaussian,liberatore,0.5630819750818667,0.5687696717998654,True
liberatore,packet-random-gaussian,herrmann,0.6769345116433305,0.6837722339831622,True
liberatore,packet-random-gaussian,panchenko,0.1329813304250601,0.13432457618692942,True
liberatore,packet-random-gaussian,vng++,0.14701601438698728,0.1485010246333205,True
liberatore,packet-random-gaussian,CUMUL,0.11085666697631161,0.11197643128920365,True
liberatore,session-random-255,liberatore,0.1632618310492735,0.1649109404538116,True
liberatore,session-random-255,herrmann,0.12048116754149606,0.1216981490318142,True
liberatore,session-random-255,panchenko,0.15048764154421168,0.15200771873152694,True
liberatore,session-random-255,vng++,0.18837103345749787,0.19027377116918975,True
liberatore,session-random-255,CUMUL,0.11452412940161504,0.11568093878951013,True
liberatore,packet-random-255,liberatore,0.39151691753233325,0.39547163387104367,True
liberatore,packet-random-255,herrmann,0.5615773115251715,0.5672498096213854,True
liberatore,packet-random-255,panchenko,0.13454222781016248,0.13590124021228533,True
liberatore,packet-random-255,vng++,0.1565235456235132,0.15810459153890222,True
liberatore,packet-random-255,CUMUL,0.11525946704179757,0.11642370408262381,True
liberatore,none,liberatore,0.048440073576023625,0.04892936724850871,True
liberatore,none,herrmann,0.04121209865382951,0.04162838247861566,True
liberatore,none,panchenko,0.05028198566099811,0.0507898845060587,True
liberatore,none,vng++,0.09463243215941171,0.09558831531253709,True
liberatore,none,CUMUL,0.07111081671096874,0.07182910778885732,True
liberatore,session-random-gaussian,liberatore,0.39281253744513667,0.3967803408536734,True
liberatore,session-random-gaussian,herrmann,0.38654523133136603,0.39044972861754146,True
liberatore,session-random-gaussian,panchenko,0.25058542517967064,0.2531165910905764,True
liberatore,session-random-gaussian,vng++,0.13201492105174176,0.13334840510276944,True
liberatore,session-random-gaussian,CUMUL,0.08194950754463873,0.08277728034811993,True
liberatore,packet-random-gaussian,liberatore,0.522967733910403,0.5282502362731343,True
liberatore,packet-random-gaussian,herrmann,0.6885146102708957,0.6954693033039351,True
liberatore,packet-random-gaussian,panchenko,0.11357589655204463,0.1147231278303481,True
liberatore,packet-random-gaussian,vng++,0.1199249087968521,0.12113627151197182,True
liberatore,packet-random-gaussian,CUMUL,0.08643104583686374,0.08730408670390277,True
liberatore,session-random-255,liberatore,0.1487962958736344,0.15029928876124687,True
liberatore,session-random-255,herrmann,0.0922577919937049,0.09318968888253021,True
liberatore,session-random-255,panchenko,0.13658489222823902,0.13796453760428184,True
liberatore,session-random-255,vng++,0.15044534513275756,0.1519649950835935,True
liberatore,session-random-255,CUMUL,0.08615703656482693,0.08702730966144133,True
liberatore,packet-random-255,liberatore,0.35309877957230207,0.35666543391141625,True
liberatore,packet-random-255,herrmann,0.5519553703687552,0.5575306771401568,True
liberatore,packet-random-255,panchenko,0.12032355467117539,0.12153894411229839,True
liberatore,packet-random-255,vng++,0.12878932199144333,0.13009022423378114,True
liberatore,packet-random-255,CUMUL,0.09198178422822129,0.09291089315981947,True
liberatore,none,liberatore,0.04802006199611602,0.048505113127389914,True
liberatore,none,herrmann,0.0401167571287808,0.04052197689775839,True
liberatore,none,panchenko,0.050914698442255026,0.05142898832551013,True
liberatore,none,vng++,0.11323821472759374,0.1143820350783775,True
liberatore,none,CUMUL,0.0761348084678205,0.07690384693719242,True
liberatore,session-random-gaussian,liberatore,0.43348958282687,0.4378682654816869,True
liberatore,session-random-gaussian,herrmann,0.4124490303347412,0.4166151821563042,True
liberatore,session-random-gaussian,panchenko,0.25441323255089543,0.2569830631827227,True
liberatore,session-random-gaussian,vng++,0.16136690906065074,0.16299687783904115,True
liberatore,session-random-gaussian,CUMUL,0.08135031440848296,0.0821720347560434,True
liberatore,packet-random-gaussian,liberatore,0.5787700442109438,0.5846162062736806,True
liberatore,packet-random-gaussian,herrmann,0.698027545036816,0.7050783283200162,True
liberatore,packet-random-gaussian,panchenko,0.10828317171404661,0.10937694112529961,True
liberatore,packet-random-gaussian,vng++,0.13155462361771908,0.13288345819971625,True
liberatore,packet-random-gaussian,CUMUL,0.07884784414151619,0.07964428701163251,True
liberatore,session-random-255,liberatore,0.16886803718879922,0.17057377493818102,True
liberatore,session-random-255,herrmann,0.10251806210208,0.10355359808290909,True
liberatore,session-random-255,panchenko,0.1568385582649681,0.1584227861262304,True
liberatore,session-random-255,vng++,0.1878373687689811,0.18973471592826374,True
liberatore,session-random-255,CUMUL,0.0886807343070078,0.08957649930000788,True
liberatore,packet-random-255,liberatore,0.42466549587808167,0.4289550463414966,True
liberatore,packet-random-255,herrmann,0.5782905875254247,0.5841319065913381,True
liberatore,packet-random-255,panchenko,0.1098562554869218,0.11096591463325435,True
liberatore,packet-random-255,vng++,0.13966596623180363,0.1410767335674784,True
liberatore,packet-random-255,CUMUL,0.08358720133661496,0.08443151650163128,True
liberatore,none,liberatore,0.05837078190945521,0.05896038576712647,True
liberatore,none,herrmann,0.04680648857193679,0.04727928138579474,True
liberatore,none,panchenko,0.062150874333547795,0.06277866094297757,True
liberatore,none,vng++,0.11695876386049217,0.11814016551564867,True
liberatore,none,CUMUL,0.08790244429995268,0.08879034777773,True
liberatore,session-random-gaussian,liberatore,0.4027045036780888,0.4067722259374634,True
liberatore,session-random-gaussian,herrmann,0.3965836200440705,0.4005895151960308,True
liberatore,session-random-gaussian,panchenko,0.24808356265681777,0.25058945722910886,True
liberatore,session-random-gaussian,vng++,0.16182610521702628,0.16346071234043058,True
liberatore,session-random-gaussian,CUMUL,0.09672512629090474,0.09770214776859064,True
liberatore,packet-random-gaussian,liberatore,0.5492755963189695,0.5548238346656257,True
liberatore,packet-random-gaussian,herrmann,0.6595503064005054,0.6662124307075812,True
liberatore,packet-random-gaussian,panchenko,0.12510463060552818,0.12636831374295776,True
liberatore,packet-random-gaussian,vng++,0.13848605413651627,0.13988490316819824,True
liberatore,packet-random-gaussian,CUMUL,0.09672512629090474,0.09770214776859064,True
liberatore,session-random-255,liberatore,0.17532460452030355,0.17709556012151872,True
liberatore,session-random-255,herrmann,0.10703624083431372,0.10811741498415527,True
liberatore,session-random-255,panchenko,0.16380087146015468,0.16545542571732796,True
liberatore,session-random-255,vng++,0.1823422754656525,0.1841841166319722,True
liberatore,session-random-255,CUMUL,0.10122500035160754,0.10224747510263389,True
liberatore,packet-random-255,liberatore,0.3794797300662328,0.3833128586527604,True
liberatore,packet-random-255,herrmann,0.5651741533286845,0.5708829831602873,True
liberatore,packet-random-255,panchenko,0.1320000000000001,0.13333333333333341,True
liberatore,packet-random-255,vng++,0.14848529424614326,0.14998514570317503,True
liberatore,packet-random-255,CUMUL,0.10178212132382738,0.1028102235594216,True
liberatore,none,liberatore,0.02614523915685318,0.026409332481669878,True
liberatore,none,herrmann,0.01000051020421447,0.010101525458802494,True
liberatore,none,panchenko,0.0258884919263748,0.02614999184482303,True
liberatore,none,vng++,0.06391307103490548,0.06455865761101563,True
liberatore,none,CUMUL,0.048171990223267985,0.04865857598309897,True
liberatore,session-random-gaussian,liberatore,0.3945018891717625,0.398486756739154,True
liberatore,session-random-gaussian,herrmann,0.3839554471823049,0.3878337850326312,True
liberatore,session-random-gaussian,panchenko,0.20800063938645058,0.21010165594590965,True
liberatore,session-random-gaussian,vng++,0.1175259316174492,0.11871306223984768,True
liberatore,session-random-gaussian,CUMUL,0.054711809119777285,0.05526445365634069,True
liberatore,packet-random-gaussian,liberatore,0.5008343838739276,0.5058933170443713,True
liberatore,packet-random-gaussian,herrmann,0.6842942591314322,0.691206322354982,True
liberatore,packet-random-gaussian,panchenko,0.06380617579256116,0.06445068261874864,True
liberatore,packet-random-gaussian,vng++,0.08275912790483259,0.08359507869175009,True
liberatore,packet-random-gaussian,CUMUL,0.05354818597004154,0.05408907673741569,True
liberatore,session-random-255,liberatore,0.1326348502534058,0.1339745962155614,True
liberatore,session-random-255,herrmann,0.0714266496354252,0.07214813094487393,True
liberatore,session-random-255,panchenko,0.1122090226027611,0.11334244707349606,True
liberatore,session-random-255,vng++,0.14326627562143238,0.14471340971861857,True
liberatore,session-random-255,CUMUL,0.0574679630168194,0.058048447491736765,True
liberatore,packet-random-255,liberatore,0.34479073162267737,0.3482734662855327,True
liberatore,packet-random-255,herrmann,0.5761522018905983,0.5819719211016144,True
liberatore,packet-random-255,panchenko,0.06986522726287535,0.07057093662916702,True
liberatore,packet-random-255,vng++,0.09186192598242447,0.09278982422467119,True
liberatore,packet-random-255,CUMUL,0.05757413163297532,0.05815568851815688,True
liberatore,none,liberatore,0.04528575749065792,0.04574318938450295,True
liberatore,none,herrmann,0.032534595925262755,0.032863228207336115,True
liberatore,none,panchenko,0.05027663645091808,0.050784481263553616,True
liberatore,none,vng++,0.11102559764234318,0.11214706832559918,True
liberatore,none,CUMUL,0.07672293360667383,0.07749791273401396,True
liberatore,session-random-gaussian,liberatore,0.4274140065732173,0.4317313197709266,True
liberatore,session-random-gaussian,herrmann,0.4057466303049679,0.40984508111612916,True
liberatore,session-random-gaussian,panchenko,0.25599863760344427,0.2585844824277215,True
liberatore,session-random-gaussian,vng++,0.16033319941075141,0.1619527266775267,True
liberatore,session-random-gaussian,CUMUL,0.084616103522931,0.08547081163932424,True
liberatore,packet-random-gaussian,liberatore,0.5342566511730533,0.5396531830030842,True
liberatore,packet-random-gaussian,herrmann,0.6935004215854601,0.7005054763489497,True
liberatore,packet-random-gaussian,panchenko,0.11175800601428755,0.1128868747619066,True
liberatore,packet-random-gaussian,vng++,0.1381373350122685,0.13953266162855404,True
liberatore,packet-random-gaussian,CUMUL,0.08330490240654762,0.08414636606721981,True
liberatore,session-random-255,liberatore,0.1620652199599295,0.16370224238376718,True
liberatore,session-random-255,herrmann,0.09175170470520795,0.09267848960122016,True
liberatore,session-random-255,panchenko,0.14186439763443495,0.1432973713479141,True
liberatore,session-random-255,vng++,0.1800777815123233,0.18189674900234676,True
liberatore,session-random-255,CUMUL,0.08483482170379528,0.0856917390947427,True
liberatore,packet-random-255,liberatore,0.3651352146263962,0.36882344911757187,True
liberatore,packet-random-255,herrmann,0.5354529727299936,0.5408615886161551,True
liberatore,packet-random-255,panchenko,0.11763940941833007,0.11882768628114147,True
liberatore,packet-random-255,vng++,0.15036972422381054,0.15188861032708134,True
liberatore,packet-random-255,CUMUL,0.090540162097273,0.09145470918916465,True
liberatore,none,liberatore,0.036943506480376635,0.03731667321250165,True
liberatore,none,herrmann,0.030110785219291083,0.030414934564940488,True
liberatore,none,panchenko,0.04351065217680792,0.04395015371394739,True
liberatore,none,vng++,0.09479866079252348,0.095756223022751,True
liberatore,none,CUMUL,0.060717984392108154,0.06133129736576581,True
liberatore,session-random-gaussian,liberatore,0.3966357412417008,0.4006421628704049,True
liberatore,session-random-gaussian,herrmann,0.3957190092658408,0.39971617097559675,True
liberatore,session-random-gaussian,panchenko,0.26035903214595646,0.262988921359552,True
liberatore,session-random-gaussian,vng++,0.13739693291954574,0.13878478072681388,True
liberatore,session-random-gaussian,CUMUL,0.06906605493901861,0.06976369185759457,True
liberatore,packet-random-gaussian,liberatore,0.5867942362217871,0.5927214507290778,True
liberatore,packet-random-gaussian,herrmann,0.6669562078512838,0.6736931392437211,True
liberatore,packet-random-gaussian,panchenko,0.10800212096098842,0.10909305147574588,True
liberatore,packet-random-gaussian,vng++,0.12569178365213762,0.12696139762842185,True
liberatore,packet-random-gaussian,CUMUL,0.07094949218339525,0.07166615372060126,True
liberatore,session-random-255,liberatore,0.13954905438029358,0.14095864078817533,True
liberatore,session-random-255,herrmann,0.08582880062518602,0.08669575820725861,True
liberatore,session-random-255,panchenko,0.13629539430966614,0.13767211546430924,True
liberatore,session-random-255,vng++,0.1523944618624114,0.15393379986102163,True
liberatore,session-random-255,CUMUL,0.07353857758802271,0.07428139150305324,True
liberatore,packet-random-255,liberatore,0.3651035127239833,0.36879142699392253,True
liberatore,packet-random-255,herrmann,0.5706640710472626,0.5764283545931945,True
liberatore,packet-random-255,panchenko,0.11233493234292796,0.11346962862922017,True
liberatore,packet-random-255,vng++,0.13328569219219807,0.13463201231535157,True
liberatore,packet-random-255,CUMUL,0.07711068855667183,0.07788958440067861,True
liberatore,none,liberatore,0.052708898311387815,0.053241311425644255,True
liberatore,none,herrmann,0.0433534556974711,0.04379136939138495,True
liberatore,none,panchenko,0.05572423069708519,0.05628710171422746,True
liberatore,none,vng++,0.10430544038790489,0.10535903069485342,True
liberatore,none,CUMUL,0.07738184603445795,0.07816348084288682,True
liberatore,session-random-gaussian,liberatore,0.40928688118557066,0.4134210921066371,True
liberatore,session-random-gaussian,herrmann,0.40208498613169796,0.40614645063807875,True
liberatore,session-random-gaussian,panchenko,0.24505105378540662,0.2475263169549562,True
liberatore,session-random-gaussian,vng++,0.14885464171947155,0.15035822395906218,True
liberatore,session-random-gaussian,CUMUL,0.08539082699878667,0.08625336060483503,True
liberatore,packet-random-gaussian,liberatore,0.5270140407104664,0.532337414859057,True
liberatore,packet-random-gaussian,herrmann,0.6961656115702046,0.7031975874446511,True
liberatore,packet-random-gaussian,panchenko,0.1077774627098607,0.10886612394935424,True
liberatore,packet-random-gaussian,vng++,0.12643585645592745,0.12771298631911865,True
liberatore,packet-random-gaussian,CUMUL,0.08358676423113251,0.08443107498094192,True
liberatore,session-random-255,liberatore,0.15832364270610605,0.15992287142030914,True
liberatore,session-random-255,herrmann,0.10168084369314044,0.10270792292236408,True
liberatore,session-random-255,panchenko,0.15079882459186036,0.1523220450422832,True
liberatore,session-random-255,vng++,0.16941148450890567,0.17112271162515724,True
liberatore,session-random-255,CUMUL,0.08840573920107908,0.08929872646573643,True
liberatore,packet-random-255,liberatore,0.39380711596204987,0.39778496561823223,True
liberatore,packet-random-255,herrmann,0.5842238497125898,0.5901251007197876,True
liberatore,packet-random-255,panchenko,0.1168587036672238,0.11803909461335738,True
liberatore,packet-random-255,vng++,0.1348467397306641,0.13620882801077183,True
liberatore,packet-random-255,CUMUL,0.0893943108642652,0.09029728370127799,True
liberatore,none,liberatore,0.056783388691665576,0.057356958274409675,True
liberatore,none,herrmann,0.03824292423663447,0.038629216400640876,True
liberatore,none,panchenko,0.05731372405043276,0.057892650555992686,True
liberatore,none,vng++,0.11549607115760746,0.11666269813899745,True
liberatore,none,CUMUL,0.0841856598566101,0.08503602005718192,True
liberatore,session-random-gaussian,liberatore,0.4109062690076525,0.4150568373814672,True
liberatore,session-random-gaussian,herrmann,0.4058845183116836,0.4099843619309935,True
liberatore,session-random-gaussian,panchenko,0.2750922982573165,0.27787100834072376,True
liberatore,session-random-gaussian,vng++,0.16381744583512098,0.16547216751022323,True
liberatore,session-random-gaussian,CUMUL,0.10039790611604274,0.10141202637984116,True
liberatore,packet-random-gaussian,liberatore,0.5538827392402748,0.5594775143841159,True
liberatore,packet-random-gaussian,herrmann,0.6669552113595798,0.6736921326864442,True
liberatore,packet-random-gaussian,panchenko,0.13276335569915934,0.13410439969612056,True
