,,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
feature_set,defense,,,,,,,,,,,,,,,,
CUMUL,none,50.0,0.07297127648847118,0.01558514022841974,0.0411554394949612,0.06153240815342875,0.07153844892980546,0.0837371691463034,0.1162219961569185,50.0,0.07370836008936484,0.015742565887292673,0.0415711510050114,0.062153947629726,0.07226105952505596,0.08458299913768022,0.1173959557140591
CUMUL,packet-random-255,50.0,0.08490240946186578,0.017202538097265824,0.0552412075834751,0.07511554471569482,0.08345036696588205,0.09514014864712679,0.1320576942474512,50.0,0.0857600095574401,0.017376301108349323,0.0557991995792678,0.07587428759161097,0.0842932999655374,0.09610116024962309,0.1333916103509608
CUMUL,packet-random-gaussian,50.0,0.08081546083522102,0.016924659718912414,0.0495921097736366,0.0713188990987606,0.0794415048280694,0.09002376464103312,0.1291777186898564,50.0,0.08163177862143539,0.01709561587768931,0.0500930401753905,0.0720392920189501,0.08024394427077719,0.09093309559700309,0.1304825441311681
CUMUL,session-random-255,50.0,0.08523630710202695,0.016616608618468278,0.0529669162724295,0.07494984390950825,0.08535902684572474,0.09518426887810318,0.1301558280711556,50.0,0.08609727990103731,0.016784453149967956,0.0535019356287167,0.07570691303990734,0.08622123923810585,0.09614572613949818,0.1314705334052077
CUMUL,session-random-gaussian,50.0,0.0814823653826738,0.016635372811374904,0.0508562410365492,0.07026913092138534,0.08124127923108145,0.0920092117779656,0.1269380091789466,50.0,0.08230541957845838,0.016803406880176674,0.0513699404409588,0.07097892012261145,0.08206189821321361,0.09293859775552085,0.1282202112918653
herrmann,none,50.0,0.036885784756309936,0.015024668388416287,0.0100005102042144,0.026986387540524175,0.0364238634019968,0.04322166914485545,0.0771024153827549,50.0,0.0372583684407171,0.015176432715572003,0.0101015254588024,0.02725897731366075,0.0367917812141382,0.043658251661470124,0.0778812276593484
herrmann,packet-random-255,50.0,0.5651938230286369,0.020425474514903678,0.5298840675050821,0.5517192614262909,0.5618085164972793,0.5813913431553083,0.6124084187894274,50.0,0.5709028515440775,0.020631792439296654,0.5352364318233153,0.5572921832588797,0.5674833499972517,0.5872639829851598,0.6185943624135631
herrmann,packet-random-gaussian,50.0,0.6821291688822017,0.02164761132389547,0.6331891257262471,0.6670372327353017,0.6832453751897506,0.6948680678964868,0.7402450645855384,50.0,0.6890193625072744,0.02186627406454088,0.6395849754810576,0.6737749825609108,0.6901468436260108,0.7018869372691785,0.7477222874601398
herrmann,session-random-255,50.0,0.09441916557454996,0.015236543407708726,0.0651967776872748,0.084930530317214,0.09222523149855495,0.10240919489596728,0.1400570607387811,50.0,0.09537289451974741,0.01539044788657448,0.0658553309972472,0.08578841446183233,0.09315679949348984,0.10344363120804767,0.1414717785240213
herrmann,session-random-gaussian,50.0,0.3997812845823703,0.009143924398693127,0.3832207979833191,0.394003355714145,0.4000139412770235,0.40585004631000465,0.4246054474970597,50.0,0.4038194793761317,0.0092362872714072,0.3870917151346658,0.3979831875900455,0.40405448613840755,0.40994954172727743,0.4288943914111714
liberatore,none,50.0,0.04757457229253977,0.015499342853867528,0.0244007042256089,0.03589496363725818,0.0463679429224119,0.0565263091968011,0.0963927037003334,50.0,0.04805512352781797,0.01565590187259346,0.0246471759854636,0.036257539027533495,0.0468363059822343,0.05709728201697083,0.0973663673740742
liberatore,packet-random-255,50.0,0.37094888162747963,0.021172242479973454,0.322467978296172,0.3559500991025202,0.36969130034472486,0.38467590368999993,0.4246654958780816,50.0,0.37469584002775713,0.021386103515124703,0.3257252306021939,0.3595455546490103,0.3734255559037626,0.3885615188787878,0.4289550463414966
liberatore,packet-random-gaussian,50.0,0.5565299194173394,0.02482958579474708,0.5008343838739276,0.5356267015851396,0.5568100224963566,0.5741552583097742,0.631804522641617,50.0,0.5621514337548884,0.025080389691663707,0.5058933170443713,0.5410370723082218,0.562434366157936,0.5799548063735093,0.6381863865066838
