dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,none,liberatore,0.016471233678247023,0.032942467356494046,False
liberatore,none,herrmann,0.014708295679206238,0.029416591358412476,False
liberatore,none,panchenko,0.016213905798691926,0.03242781159738385,False
liberatore,none,vng++,0.02756385611781509,0.05512771223563018,False
liberatore,none,CUMUL,0.025213628612841897,0.050427257225683794,False
liberatore,session-random-gaussian,liberatore,0.1415120842452799,0.2830241684905598,False
liberatore,session-random-gaussian,herrmann,0.3023988632633994,0.6047977265267988,False
liberatore,session-random-gaussian,panchenko,0.039832166082292945,0.07966433216458589,False
liberatore,session-random-gaussian,vng++,0.0310835744045022,0.0621671488090044,False
liberatore,session-random-gaussian,CUMUL,0.025872823581052716,0.05174564716210543,False
liberatore,packet-random-gaussian,liberatore,0.1858449517889883,0.3716899035779766,False
liberatore,packet-random-gaussian,herrmann,0.2217787059935997,0.4435574119871994,False
liberatore,packet-random-gaussian,panchenko,0.021912657778496922,0.043825315556993844,False
liberatore,packet-random-gaussian,vng++,0.029135666382620978,0.058271332765241955,False
liberatore,packet-random-gaussian,CUMUL,0.025101496107652596,0.05020299221530519,False
liberatore,session-random-255,liberatore,0.06187741756129395,0.1237548351225879,False
liberatore,session-random-255,herrmann,0.1300191826230753,0.2600383652461506,False
liberatore,session-random-255,panchenko,0.03456392472833977,0.06912784945667955,False
liberatore,session-random-255,vng++,0.03405852428257012,0.06811704856514024,False
liberatore,session-random-255,CUMUL,0.02558267235922139,0.05116534471844278,False
liberatore,packet-random-255,liberatore,0.06776917212791365,0.1355383442558273,False
liberatore,packet-random-255,herrmann,0.142833129310147,0.285666258620294,False
liberatore,packet-random-255,panchenko,0.022589899529531065,0.04517979905906213,False
liberatore,packet-random-255,vng++,0.028460174456021975,0.05692034891204395,False
liberatore,packet-random-255,CUMUL,0.025008271716568307,0.050016543433136613,False
liberatore,none,liberatore,0.013973583164367231,0.027947166328734462,False
liberatore,none,herrmann,0.015670177304533642,0.031340354609067284,False
liberatore,none,panchenko,0.0153499146453085,0.030699829290617,False
liberatore,none,vng++,0.025434091988416226,0.05086818397683245,False
liberatore,none,CUMUL,0.019125898745582775,0.03825179749116555,False
liberatore,session-random-gaussian,liberatore,0.13684466971001435,0.2736893394200287,False
liberatore,session-random-gaussian,herrmann,0.30299283103152563,0.6059856620630513,False
liberatore,session-random-gaussian,panchenko,0.03560899329304736,0.07121798658609473,False
liberatore,session-random-gaussian,vng++,0.029635061221628747,0.059270122443257495,False
liberatore,session-random-gaussian,CUMUL,0.0218417538101669,0.0436835076203338,False
liberatore,packet-random-gaussian,liberatore,0.1859173409321232,0.3718346818642464,False
liberatore,packet-random-gaussian,herrmann,0.25456455264425687,0.5091291052885137,False
liberatore,packet-random-gaussian,panchenko,0.021452834594426547,0.04290566918885309,False
liberatore,packet-random-gaussian,vng++,0.026576023609161007,0.053152047218322014,False
liberatore,packet-random-gaussian,CUMUL,0.021450730273911735,0.04290146054782347,False
liberatore,session-random-255,liberatore,0.05793600849238036,0.11587201698476073,False
liberatore,session-random-255,herrmann,0.12846208105347762,0.25692416210695523,False
liberatore,session-random-255,panchenko,0.0313304355688536,0.0626608711377072,False
liberatore,session-random-255,vng++,0.030334127719335593,0.06066825543867119,False
liberatore,session-random-255,CUMUL,0.02242881705643464,0.04485763411286928,False
liberatore,packet-random-255,liberatore,0.06447959865585838,0.12895919731171676,False
liberatore,packet-random-255,herrmann,0.14933557384361307,0.29867114768722614,False
liberatore,packet-random-255,panchenko,0.02019919344170556,0.04039838688341112,False
liberatore,packet-random-255,vng++,0.027427050880325467,0.05485410176065093,False
liberatore,packet-random-255,CUMUL,0.02136459993229753,0.04272919986459506,False
liberatore,none,liberatore,0.013618567841855576,0.027237135683711153,False
liberatore,none,herrmann,0.01430137256024233,0.02860274512048466,False
liberatore,none,panchenko,0.015284160531794514,0.03056832106358903,False
liberatore,none,vng++,0.026905717381327944,0.05381143476265589,False
liberatore,none,CUMUL,0.024066828904512824,0.04813365780902565,False
liberatore,session-random-gaussian,liberatore,0.1405580509569124,0.2811161019138248,False
liberatore,session-random-gaussian,herrmann,0.297187783233083,0.594375566466166,False
liberatore,session-random-gaussian,panchenko,0.034832960563922453,0.06966592112784491,False
liberatore,session-random-gaussian,vng++,0.029459278189445895,0.05891855637889179,False
