,,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,error_bound,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
feature_set,defense,,,,,,,,,,,,,,,,
CUMUL,none,50.0,0.023986650674963764,0.003210631726740445,0.0191133513850616,0.0218301650916806,0.023344722057572598,0.026082886434643075,0.030959320877168,50.0,0.04797330134992758,0.006421263453480884,0.0382267027701233,0.0436603301833612,0.04668944411514525,0.05216577286928625,0.0619186417543361
CUMUL,packet-random-255,50.0,0.024914817615422708,0.0032315852472578625,0.0190900384037602,0.022524506253528198,0.024682955918024753,0.027434820761883975,0.0322191183475172,50.0,0.04982963523084547,0.00646317049451572,0.0381800768075205,0.04504901250705648,0.04936591183604955,0.054869641523768026,0.0644382366950344
CUMUL,packet-random-gaussian,50.0,0.02466395472209744,0.003123859804485457,0.0197477529115081,0.022437447810972976,0.0241077807304654,0.02646142711925445,0.0319028201957255,50.0,0.049327909444194934,0.006247719608970915,0.0394955058230162,0.04487489562194595,0.0482155614609309,0.0529228542385089,0.0638056403914511
CUMUL,session-random-255,50.0,0.02577348959859072,0.0031989503868706756,0.0207282456748109,0.023209480323085424,0.02471879246804485,0.027888314009241525,0.0329495791849542,50.0,0.0515469791971815,0.006397900773741356,0.0414564913496218,0.046418960646170945,0.049437584936089796,0.055776628018483126,0.0658991583699085
CUMUL,session-random-gaussian,50.0,0.025197752065342666,0.0035849860491294332,0.019778720541245,0.022225314701772598,0.0243135534082409,0.0278451162485494,0.0350573502326804,50.0,0.05039550413068539,0.007169972098258855,0.0395574410824901,0.04445062940354527,0.04862710681648185,0.055690232497098875,0.0701147004653608
herrmann,none,50.0,0.01419284334646651,0.0014073329227978423,0.0120598638397303,0.013076128783750252,0.013996948659287651,0.014996003756578974,0.0188489902338816,50.0,0.028385686692933076,0.002814665845595669,0.0241197276794607,0.0261522575675006,0.02799389731857535,0.029992007513158052,0.0376979804677632
herrmann,packet-random-255,50.0,0.1496504242751259,0.01256705052395264,0.1282898337742959,0.14102836776256933,0.1488376065014818,0.15704979969099864,0.176523703923237,50.0,0.2993008485502519,0.025134101047905262,0.2565796675485919,0.2820567355251387,0.29767521300296373,0.3140995993819973,0.353047407846474
herrmann,packet-random-gaussian,50.0,0.22373161799864946,0.026476901147723823,0.1641978243260443,0.20489047337063576,0.22965365717865788,0.24468774575873042,0.2852975429050258,50.0,0.44746323599729904,0.05295380229544763,0.3283956486520887,0.4097809467412715,0.45930731435731587,0.4893754915174609,0.5705950858100516
herrmann,session-random-255,50.0,0.12909313926177154,0.0032104772439210446,0.1221875233976558,0.1264406619728994,0.1290090314694085,0.1315234389183142,0.1354953326134182,50.0,0.25818627852354314,0.006420954487842103,0.2443750467953116,0.2528813239457989,0.258018062938817,0.2630468778366284,0.2709906652268365
herrmann,session-random-gaussian,50.0,0.29843460721035997,0.008223717396612866,0.272515036022188,0.2948805459333594,0.2990260212622814,0.30448773447233757,0.3122276834682221,50.0,0.59686921442072,0.016447434793225732,0.545030072044376,0.5897610918667188,0.5980520425245629,0.6089754689446754,0.6244553669364443
liberatore,none,50.0,0.014662971607940162,0.001957236511389282,0.0112302528012028,0.0136003456211065,0.0142160184300344,0.015652184064732576,0.020947741752695,50.0,0.029325943215880376,0.003914473022778558,0.0224605056024056,0.027200691242213103,0.02843203686006885,0.03130436812946515,0.04189548350539
liberatore,packet-random-255,50.0,0.06089884916768163,0.006233396305488215,0.0498520563254293,0.05568552902657732,0.0603444577932329,0.06487432782881913,0.0755780593909393,50.0,0.12179769833536333,0.012466792610976428,0.0997041126508586,0.11137105805315464,0.1206889155864658,0.12974865565763827,0.1511561187818787
liberatore,packet-random-gaussian,50.0,0.16855583146108985,0.015836622637426134,0.1249808992786107,0.16024770008873884,0.16869495232616516,0.17966618347666463,0.205278083392911,50.0,0.3371116629221797,0.031673245274852276,0.2499617985572214,0.32049540017747774,0.3373899046523303,0.35933236695332926,0.4105561667858221
