dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,CUMUL,2,156,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,156,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,156,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,156,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,156,0,45,4,1.0
liberatore,none,CUMUL,2,64,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,64,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,64,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,64,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,64,0,45,4,1.0
liberatore,none,CUMUL,2,70,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,70,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,70,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,70,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,70,0,45,4,1.0
liberatore,none,CUMUL,2,146,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,146,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,146,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,146,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,146,0,45,4,1.0
liberatore,none,CUMUL,2,52,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,52,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,52,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,52,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,52,0,45,4,1.0
liberatore,none,CUMUL,2,0,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,0,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,0,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,0,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,0,0,45,4,1.0
liberatore,none,CUMUL,2,146,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,146,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,146,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,146,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,146,0,45,4,1.0
liberatore,none,CUMUL,2,102,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,102,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,102,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,102,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,102,0,45,4,1.0
liberatore,none,CUMUL,2,65,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,65,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,65,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,65,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,65,0,45,4,1.0
liberatore,none,CUMUL,2,75,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,2,75,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,2,75,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,2,75,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,2,75,0,45,4,1.0
liberatore,none,CUMUL,4,17,0,45,4,0.875
liberatore,session-random-uniform,CUMUL,4,17,0,45,4,0.875
liberatore,packet-random-uniform,CUMUL,4,17,0,45,4,0.875
liberatore,session-random-gaussian,CUMUL,4,17,0,45,4,0.875
liberatore,packet-random-gaussian,CUMUL,4,17,0,45,4,0.875
liberatore,none,CUMUL,4,81,0,45,4,0.9375
liberatore,session-random-uniform,CUMUL,4,81,0,45,4,0.9375
liberatore,packet-random-uniform,CUMUL,4,81,0,45,4,0.9375
liberatore,session-random-gaussian,CUMUL,4,81,0,45,4,0.9375
liberatore,packet-random-gaussian,CUMUL,4,81,0,45,4,0.9375
liberatore,none,CUMUL,4,144,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,4,144,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,4,144,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,4,144,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,4,144,0,45,4,1.0
liberatore,none,CUMUL,4,151,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,4,151,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,4,151,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,4,151,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,4,151,0,45,4,1.0
liberatore,none,CUMUL,4,89,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,4,89,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,4,89,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,4,89,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,4,89,0,45,4,1.0
liberatore,none,CUMUL,4,25,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,4,25,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,4,25,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,4,25,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,4,25,0,45,4,1.0
liberatore,none,CUMUL,4,144,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,4,144,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,4,144,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,4,144,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,4,144,0,45,4,1.0
liberatore,none,CUMUL,4,0,0,45,4,0.9375
liberatore,session-random-uniform,CUMUL,4,0,0,45,4,0.9375
liberatore,packet-random-uniform,CUMUL,4,0,0,45,4,0.9375
liberatore,session-random-gaussian,CUMUL,4,0,0,45,4,0.9375
liberatore,packet-random-gaussian,CUMUL,4,0,0,45,4,0.9375
liberatore,none,CUMUL,4,58,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,4,58,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,4,58,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,4,58,0,45,4,1.0
liberatore,packet-random-gaussian,CUMUL,4,58,0,45,4,1.0
liberatore,none,CUMUL,4,46,0,45,4,1.0
liberatore,session-random-uniform,CUMUL,4,46,0,45,4,1.0
liberatore,packet-random-uniform,CUMUL,4,46,0,45,4,1.0
liberatore,session-random-gaussian,CUMUL,4,46,0,45,4,1.0
