dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,liberatore,2,156,0,4,4,1.0
liberatore,none,herrmann,2,156,0,4,4,1.0
liberatore,session-random-255,liberatore,2,156,0,4,4,0.875
liberatore,session-random-255,herrmann,2,156,0,4,4,0.5
liberatore,packet-random-255,liberatore,2,156,0,4,4,1.0
liberatore,packet-random-255,herrmann,2,156,0,4,4,0.625
liberatore,session-random-gaussian,liberatore,2,156,0,4,4,1.0
liberatore,session-random-gaussian,herrmann,2,156,0,4,4,0.5
liberatore,packet-random-gaussian,liberatore,2,156,0,4,4,1.0
liberatore,packet-random-gaussian,herrmann,2,156,0,4,4,0.5
liberatore,none,liberatore,2,148,0,4,4,0.875
liberatore,none,herrmann,2,148,0,4,4,0.875
liberatore,session-random-255,liberatore,2,148,0,4,4,0.5
liberatore,session-random-255,herrmann,2,148,0,4,4,0.5
liberatore,packet-random-255,liberatore,2,148,0,4,4,0.875
liberatore,packet-random-255,herrmann,2,148,0,4,4,1.0
liberatore,session-random-gaussian,liberatore,2,148,0,4,4,0.75
liberatore,session-random-gaussian,herrmann,2,148,0,4,4,0.625
liberatore,packet-random-gaussian,liberatore,2,148,0,4,4,0.875
liberatore,packet-random-gaussian,herrmann,2,148,0,4,4,0.625
liberatore,none,liberatore,2,147,0,4,4,1.0
liberatore,none,herrmann,2,147,0,4,4,1.0
liberatore,session-random-255,liberatore,2,147,0,4,4,0.875
liberatore,session-random-255,herrmann,2,147,0,4,4,0.375
liberatore,packet-random-255,liberatore,2,147,0,4,4,1.0
liberatore,packet-random-255,herrmann,2,147,0,4,4,0.875
liberatore,session-random-gaussian,liberatore,2,147,0,4,4,0.625
liberatore,session-random-gaussian,herrmann,2,147,0,4,4,0.375
liberatore,packet-random-gaussian,liberatore,2,147,0,4,4,1.0
liberatore,packet-random-gaussian,herrmann,2,147,0,4,4,0.625
liberatore,none,liberatore,2,71,0,4,4,1.0
liberatore,none,herrmann,2,71,0,4,4,1.0
liberatore,session-random-255,liberatore,2,71,0,4,4,1.0
