dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,panchenko,2,29,0,18,4,1.0
liberatore,session-random-255,panchenko,2,29,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,29,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,29,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,29,0,18,4,1.0
liberatore,none,panchenko,2,31,0,18,4,1.0
liberatore,session-random-255,panchenko,2,31,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,31,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,31,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,31,0,18,4,1.0
liberatore,none,panchenko,2,26,0,18,4,1.0
liberatore,session-random-255,panchenko,2,26,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,26,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,26,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,26,0,18,4,1.0
liberatore,none,panchenko,2,27,0,18,4,1.0
liberatore,session-random-255,panchenko,2,27,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,27,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,27,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,27,0,18,4,1.0
liberatore,none,panchenko,2,176,0,18,4,1.0
liberatore,session-random-255,panchenko,2,176,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,176,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,176,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,176,0,18,4,1.0
liberatore,none,panchenko,2,69,0,18,4,1.0
liberatore,session-random-255,panchenko,2,69,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,69,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,69,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,69,0,18,4,1.0
liberatore,none,panchenko,2,113,0,18,4,1.0
liberatore,session-random-255,panchenko,2,113,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,113,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,113,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,113,0,18,4,1.0
liberatore,none,panchenko,2,31,0,18,4,1.0
liberatore,session-random-255,panchenko,2,31,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,31,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,31,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,31,0,18,4,1.0
liberatore,none,panchenko,2,143,0,18,4,1.0
liberatore,session-random-255,panchenko,2,143,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,143,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,143,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,143,0,18,4,1.0
liberatore,none,panchenko,2,30,0,18,4,1.0
liberatore,session-random-255,panchenko,2,30,0,18,4,1.0
liberatore,packet-random-255,panchenko,2,30,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,30,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,30,0,18,4,1.0
liberatore,none,panchenko,4,125,0,18,4,1.0
liberatore,session-random-255,panchenko,4,125,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,125,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,125,0,18,4,0.9375
liberatore,packet-random-gaussian,panchenko,4,125,0,18,4,1.0
liberatore,none,panchenko,4,85,0,18,4,1.0
liberatore,session-random-255,panchenko,4,85,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,85,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,85,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,85,0,18,4,1.0
liberatore,none,panchenko,4,39,0,18,4,1.0
liberatore,session-random-255,panchenko,4,39,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,39,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,39,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,39,0,18,4,1.0
liberatore,none,panchenko,4,110,0,18,4,1.0
liberatore,session-random-255,panchenko,4,110,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,110,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,110,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,110,0,18,4,1.0
liberatore,none,panchenko,4,44,0,18,4,1.0
liberatore,session-random-255,panchenko,4,44,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,44,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,44,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,44,0,18,4,1.0
liberatore,none,panchenko,4,129,0,18,4,1.0
liberatore,session-random-255,panchenko,4,129,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,129,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,129,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,129,0,18,4,1.0
liberatore,none,panchenko,4,4,0,18,4,1.0
liberatore,session-random-255,panchenko,4,4,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,4,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,4,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,4,0,18,4,1.0
liberatore,none,panchenko,4,174,0,18,4,1.0
liberatore,session-random-255,panchenko,4,174,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,174,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,174,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,174,0,18,4,1.0
liberatore,none,panchenko,4,44,0,18,4,0.9375
liberatore,session-random-255,panchenko,4,44,0,18,4,0.9375
liberatore,packet-random-255,panchenko,4,44,0,18,4,0.9375
liberatore,session-random-gaussian,panchenko,4,44,0,18,4,0.9375
liberatore,packet-random-gaussian,panchenko,4,44,0,18,4,0.9375
liberatore,none,panchenko,4,116,0,18,4,1.0
liberatore,session-random-255,panchenko,4,116,0,18,4,1.0
liberatore,packet-random-255,panchenko,4,116,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,116,0,18,4,0.9375
liberatore,packet-random-gaussian,panchenko,4,116,0,18,4,1.0
liberatore,none,panchenko,6,100,0,18,4,1.0
liberatore,session-random-255,panchenko,6,100,0,18,4,1.0
liberatore,packet-random-255,panchenko,6,100,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,6,100,0,18,4,0.9583333333333334
liberatore,packet-random-gaussian,panchenko,6,100,0,18,4,1.0
liberatore,none,panchenko,6,136,0,18,4,1.0
liberatore,session-random-255,panchenko,6,136,0,18,4,1.0
liberatore,packet-random-255,panchenko,6,136,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,6,136,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,6,136,0,18,4,1.0
liberatore,none,panchenko,6,34,0,18,4,0.9583333333333334
liberatore,session-random-255,panchenko,6,34,0,18,4,0.9583333333333334
liberatore,packet-random-255,panchenko,6,34,0,18,4,0.9583333333333334
liberatore,session-random-gaussian,panchenko,6,34,0,18,4,0.9583333333333334
liberatore,packet-random-gaussian,panchenko,6,34,0,18,4,0.9583333333333334
liberatore,none,panchenko,6,109,0,18,4,0.9583333333333334
liberatore,session-random-255,panchenko,6,109,0,18,4,0.9583333333333334
liberatore,packet-random-255,panchenko,6,109,0,18,4,0.9583333333333334
liberatore,session-random-gaussian,panchenko,6,109,0,18,4,0.9583333333333334
liberatore,packet-random-gaussian,panchenko,6,109,0,18,4,0.9583333333333334
liberatore,none,panchenko,6,169,0,18,4,1.0
liberatore,session-random-255,panchenko,6,169,0,18,4,1.0
liberatore,packet-random-255,panchenko,6,169,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,6,169,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,6,169,0,18,4,1.0
liberatore,none,panchenko,6,29,0,18,4,0.9583333333333334
liberatore,session-random-255,panchenko,6,29,0,18,4,0.9166666666666666
liberatore,packet-random-255,panchenko,6,29,0,18,4,0.9166666666666666
liberatore,session-random-gaussian,panchenko,6,29,0,18,4,0.9166666666666666
liberatore,packet-random-gaussian,panchenko,6,29,0,18,4,0.875
liberatore,none,panchenko,6,140,0,18,4,1.0
liberatore,session-random-255,panchenko,6,140,0,18,4,1.0
liberatore,packet-random-255,panchenko,6,140,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,6,140,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,6,140,0,18,4,1.0
liberatore,none,panchenko,6,143,0,18,4,1.0
liberatore,session-random-255,panchenko,6,143,0,18,4,1.0
liberatore,packet-random-255,panchenko,6,143,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,6,143,0,18,4,0.9583333333333334
liberatore,packet-random-gaussian,panchenko,6,143,0,18,4,1.0
liberatore,none,panchenko,6,17,0,18,4,0.9583333333333334
liberatore,session-random-255,panchenko,6,17,0,18,4,0.9166666666666666
liberatore,packet-random-255,panchenko,6,17,0,18,4,0.9166666666666666
liberatore,session-random-gaussian,panchenko,6,17,0,18,4,0.9166666666666666
liberatore,packet-random-gaussian,panchenko,6,17,0,18,4,0.9583333333333334
liberatore,none,panchenko,6,31,0,18,4,1.0
liberatore,session-random-255,panchenko,6,31,0,18,4,1.0
liberatore,packet-random-255,panchenko,6,31,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,6,31,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,6,31,0,18,4,1.0
liberatore,none,panchenko,8,26,0,18,4,0.9375
liberatore,session-random-255,panchenko,8,26,0,18,4,0.9375
liberatore,packet-random-255,panchenko,8,26,0,18,4,0.9375
liberatore,session-random-gaussian,panchenko,8,26,0,18,4,0.9375
liberatore,packet-random-gaussian,panchenko,8,26,0,18,4,0.9375
liberatore,none,panchenko,8,45,0,18,4,0.90625
liberatore,session-random-255,panchenko,8,45,0,18,4,0.84375
liberatore,packet-random-255,panchenko,8,45,0,18,4,0.875
liberatore,session-random-gaussian,panchenko,8,45,0,18,4,0.84375
liberatore,packet-random-gaussian,panchenko,8,45,0,18,4,0.875
liberatore,none,panchenko,8,12,0,18,4,1.0
liberatore,session-random-255,panchenko,8,12,0,18,4,0.96875
liberatore,packet-random-255,panchenko,8,12,0,18,4,0.96875
liberatore,session-random-gaussian,panchenko,8,12,0,18,4,0.96875
liberatore,packet-random-gaussian,panchenko,8,12,0,18,4,1.0
liberatore,none,panchenko,8,28,0,18,4,0.96875
liberatore,session-random-255,panchenko,8,28,0,18,4,0.96875
