dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,panchenko,2,48,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,48,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,48,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,48,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,48,0,18,4,1.0
liberatore,none,panchenko,2,87,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,87,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,87,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,87,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,87,0,18,4,1.0
liberatore,none,panchenko,2,113,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,113,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,113,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,113,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,113,0,18,4,1.0
liberatore,none,panchenko,2,138,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,138,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,138,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,138,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,138,0,18,4,1.0
liberatore,none,panchenko,2,154,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,154,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,154,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,154,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,154,0,18,4,1.0
liberatore,none,panchenko,2,136,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,136,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,136,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,136,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,136,0,18,4,1.0
liberatore,none,panchenko,2,49,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,49,0,18,4,0.75
liberatore,packet-random-uniform,panchenko,2,49,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,49,0,18,4,0.875
liberatore,packet-random-gaussian,panchenko,2,49,0,18,4,1.0
liberatore,none,panchenko,2,139,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,139,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,139,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,139,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,139,0,18,4,1.0
liberatore,none,panchenko,2,56,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,56,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,56,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,56,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,56,0,18,4,1.0
liberatore,none,panchenko,2,7,0,18,4,1.0
liberatore,session-random-uniform,panchenko,2,7,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,2,7,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,2,7,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,2,7,0,18,4,1.0
liberatore,none,panchenko,4,1,0,18,4,0.9375
liberatore,session-random-uniform,panchenko,4,1,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,4,1,0,18,4,0.9375
liberatore,session-random-gaussian,panchenko,4,1,0,18,4,0.875
liberatore,packet-random-gaussian,panchenko,4,1,0,18,4,0.9375
liberatore,none,panchenko,4,174,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,174,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,4,174,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,174,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,174,0,18,4,1.0
liberatore,none,panchenko,4,65,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,65,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,4,65,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,65,0,18,4,0.9375
liberatore,packet-random-gaussian,panchenko,4,65,0,18,4,1.0
liberatore,none,panchenko,4,117,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,117,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,4,117,0,18,4,0.9375
liberatore,session-random-gaussian,panchenko,4,117,0,18,4,0.9375
liberatore,packet-random-gaussian,panchenko,4,117,0,18,4,0.9375
liberatore,none,panchenko,4,117,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,117,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,4,117,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,117,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,117,0,18,4,1.0
liberatore,none,panchenko,4,120,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,120,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,4,120,0,18,4,0.9375
liberatore,session-random-gaussian,panchenko,4,120,0,18,4,0.9375
liberatore,packet-random-gaussian,panchenko,4,120,0,18,4,0.9375
liberatore,none,panchenko,4,161,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,161,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,4,161,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,161,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,161,0,18,4,1.0
liberatore,none,panchenko,4,105,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,105,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,4,105,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,105,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,105,0,18,4,1.0
liberatore,none,panchenko,4,121,0,18,4,1.0
liberatore,session-random-uniform,panchenko,4,121,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,4,121,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,4,121,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,4,121,0,18,4,1.0
liberatore,none,panchenko,4,89,0,18,4,0.8125
liberatore,session-random-uniform,panchenko,4,89,0,18,4,0.75
liberatore,packet-random-uniform,panchenko,4,89,0,18,4,0.8125
liberatore,session-random-gaussian,panchenko,4,89,0,18,4,0.75
liberatore,packet-random-gaussian,panchenko,4,89,0,18,4,0.8125
liberatore,none,panchenko,8,174,0,18,4,0.84375
liberatore,session-random-uniform,panchenko,8,174,0,18,4,0.75
liberatore,packet-random-uniform,panchenko,8,174,0,18,4,0.84375
liberatore,session-random-gaussian,panchenko,8,174,0,18,4,0.78125
liberatore,packet-random-gaussian,panchenko,8,174,0,18,4,0.84375
liberatore,none,panchenko,8,27,0,18,4,0.96875
liberatore,session-random-uniform,panchenko,8,27,0,18,4,0.96875
liberatore,packet-random-uniform,panchenko,8,27,0,18,4,0.96875
liberatore,session-random-gaussian,panchenko,8,27,0,18,4,0.96875
liberatore,packet-random-gaussian,panchenko,8,27,0,18,4,0.96875
liberatore,none,panchenko,8,68,0,18,4,0.96875
liberatore,session-random-uniform,panchenko,8,68,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,8,68,0,18,4,0.96875
liberatore,session-random-gaussian,panchenko,8,68,0,18,4,0.96875
liberatore,packet-random-gaussian,panchenko,8,68,0,18,4,0.96875
liberatore,none,panchenko,8,63,0,18,4,1.0
liberatore,session-random-uniform,panchenko,8,63,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,8,63,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,8,63,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,8,63,0,18,4,1.0
liberatore,none,panchenko,8,51,0,18,4,1.0
liberatore,session-random-uniform,panchenko,8,51,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,8,51,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,8,51,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,8,51,0,18,4,1.0
liberatore,none,panchenko,8,62,0,18,4,0.96875
liberatore,session-random-uniform,panchenko,8,62,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,8,62,0,18,4,0.96875
liberatore,session-random-gaussian,panchenko,8,62,0,18,4,0.96875
liberatore,packet-random-gaussian,panchenko,8,62,0,18,4,0.96875
liberatore,none,panchenko,8,18,0,18,4,1.0
liberatore,session-random-uniform,panchenko,8,18,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,8,18,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,8,18,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,8,18,0,18,4,1.0
liberatore,none,panchenko,8,142,0,18,4,0.9375
liberatore,session-random-uniform,panchenko,8,142,0,18,4,0.875
liberatore,packet-random-uniform,panchenko,8,142,0,18,4,0.90625
liberatore,session-random-gaussian,panchenko,8,142,0,18,4,0.84375
liberatore,packet-random-gaussian,panchenko,8,142,0,18,4,0.90625
liberatore,none,panchenko,8,74,0,18,4,1.0
liberatore,session-random-uniform,panchenko,8,74,0,18,4,1.0
liberatore,packet-random-uniform,panchenko,8,74,0,18,4,1.0
liberatore,session-random-gaussian,panchenko,8,74,0,18,4,1.0
liberatore,packet-random-gaussian,panchenko,8,74,0,18,4,1.0
liberatore,none,panchenko,8,7,0,18,4,1.0
liberatore,session-random-uniform,panchenko,8,7,0,18,4,0.96875
liberatore,packet-random-uniform,panchenko,8,7,0,18,4,0.96875
liberatore,session-random-gaussian,panchenko,8,7,0,18,4,0.96875
liberatore,packet-random-gaussian,panchenko,8,7,0,18,4,0.96875
liberatore,none,panchenko,16,75,0,18,4,0.953125
liberatore,session-random-uniform,panchenko,16,75,0,18,4,0.953125
liberatore,packet-random-uniform,panchenko,16,75,0,18,4,0.953125
liberatore,session-random-gaussian,panchenko,16,75,0,18,4,0.90625
liberatore,packet-random-gaussian,panchenko,16,75,0,18,4,0.953125
liberatore,none,panchenko,16,87,0,18,4,1.0
liberatore,session-random-uniform,panchenko,16,87,0,18,4,0.96875
liberatore,packet-random-uniform,panchenko,16,87,0,18,4,0.984375
liberatore,session-random-gaussian,panchenko,16,87,0,18,4,0.96875
liberatore,packet-random-gaussian,panchenko,16,87,0,18,4,1.0
liberatore,none,panchenko,16,170,0,18,4,1.0
liberatore,session-random-uniform,panchenko,16,170,0,18,4,0.890625
liberatore,packet-random-uniform,panchenko,16,170,0,18,4,0.96875
liberatore,session-random-gaussian,panchenko,16,170,0,18,4,0.90625
liberatore,packet-random-gaussian,panchenko,16,170,0,18,4,0.96875
liberatore,none,panchenko,16,133,0,18,4,0.859375
liberatore,session-random-uniform,panchenko,16,133,0,18,4,0.71875
liberatore,packet-random-uniform,panchenko,16,133,0,18,4,0.796875
liberatore,session-random-gaussian,panchenko,16,133,0,18,4,0.71875
liberatore,packet-random-gaussian,panchenko,16,133,0,18,4,0.734375
liberatore,none,panchenko,16,93,0,18,4,0.828125
liberatore,session-random-uniform,panchenko,16,93,0,18,4,0.8125
liberatore,packet-random-uniform,panchenko,16,93,0,18,4,0.796875
liberatore,session-random-gaussian,panchenko,16,93,0,18,4,0.796875
liberatore,packet-random-gaussian,panchenko,16,93,0,18,4,0.796875
liberatore,none,panchenko,16,161,0,18,4,0.984375
liberatore,session-random-uniform,panchenko,16,161,0,18,4,0.921875
liberatore,packet-random-uniform,panchenko,16,161,0,18,4,0.9375
liberatore,session-random-gaussian,panchenko,16,161,0,18,4,0.90625
liberatore,packet-random-gaussian,panchenko,16,161,0,18,4,0.9375
liberatore,none,panchenko,16,182,0,18,4,0.984375
liberatore,session-random-uniform,panchenko,16,182,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,16,182,0,18,4,0.921875
liberatore,session-random-gaussian,panchenko,16,182,0,18,4,0.953125
liberatore,packet-random-gaussian,panchenko,16,182,0,18,4,0.953125
liberatore,none,panchenko,16,85,0,18,4,0.984375
liberatore,session-random-uniform,panchenko,16,85,0,18,4,0.90625
liberatore,packet-random-uniform,panchenko,16,85,0,18,4,0.921875
liberatore,session-random-gaussian,panchenko,16,85,0,18,4,0.875
liberatore,packet-random-gaussian,panchenko,16,85,0,18,4,0.9375
liberatore,none,panchenko,16,15,0,18,4,0.984375
liberatore,session-random-uniform,panchenko,16,15,0,18,4,0.84375
liberatore,packet-random-uniform,panchenko,16,15,0,18,4,0.953125
liberatore,session-random-gaussian,panchenko,16,15,0,18,4,0.8125
liberatore,packet-random-gaussian,panchenko,16,15,0,18,4,0.890625
liberatore,none,panchenko,16,82,0,18,4,0.984375
liberatore,session-random-uniform,panchenko,16,82,0,18,4,0.9375
liberatore,packet-random-uniform,panchenko,16,82,0,18,4,0.984375
liberatore,session-random-gaussian,panchenko,16,82,0,18,4,0.953125
liberatore,packet-random-gaussian,panchenko,16,82,0,18,4,0.96875
liberatore,none,panchenko,32,102,0,18,4,0.953125
liberatore,session-random-uniform,panchenko,32,102,0,18,4,0.8515625
liberatore,packet-random-uniform,panchenko,32,102,0,18,4,0.875
liberatore,session-random-gaussian,panchenko,32,102,0,18,4,0.8671875
liberatore,packet-random-gaussian,panchenko,32,102,0,18,4,0.890625
liberatore,none,panchenko,32,15,0,18,4,0.953125
liberatore,session-random-uniform,panchenko,32,15,0,18,4,0.8046875
liberatore,packet-random-uniform,panchenko,32,15,0,18,4,0.8828125
liberatore,session-random-gaussian,panchenko,32,15,0,18,4,0.859375
liberatore,packet-random-gaussian,panchenko,32,15,0,18,4,0.9140625
liberatore,none,panchenko,32,99,0,18,4,0.9765625
liberatore,session-random-uniform,panchenko,32,99,0,18,4,0.84375
liberatore,packet-random-uniform,panchenko,32,99,0,18,4,0.8671875
liberatore,session-random-gaussian,panchenko,32,99,0,18,4,0.84375
liberatore,packet-random-gaussian,panchenko,32,99,0,18,4,0.8515625
liberatore,none,panchenko,32,100,0,18,4,0.9375
liberatore,session-random-uniform,panchenko,32,100,0,18,4,0.8671875
liberatore,packet-random-uniform,panchenko,32,100,0,18,4,0.875
liberatore,session-random-gaussian,panchenko,32,100,0,18,4,0.8125
liberatore,packet-random-gaussian,panchenko,32,100,0,18,4,0.890625
liberatore,none,panchenko,32,122,0,18,4,0.9765625
liberatore,session-random-uniform,panchenko,32,122,0,18,4,0.8671875
liberatore,packet-random-uniform,panchenko,32,122,0,18,4,0.953125
liberatore,session-random-gaussian,panchenko,32,122,0,18,4,0.875
liberatore,packet-random-gaussian,panchenko,32,122,0,18,4,0.953125
liberatore,none,panchenko,32,138,0,18,4,0.9609375
liberatore,session-random-uniform,panchenko,32,138,0,18,4,0.921875
liberatore,packet-random-uniform,panchenko,32,138,0,18,4,0.90625
liberatore,session-random-gaussian,panchenko,32,138,0,18,4,0.9140625
liberatore,packet-random-gaussian,panchenko,32,138,0,18,4,0.9375
