dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,vng++,2,110,0,16,4,1.0
liberatore,session-random-255,vng++,2,110,0,16,4,1.0
liberatore,packet-random-255,vng++,2,110,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,linear-padding,vng++,2,110,0,16,4,1.0
liberatore,pad-to-mtu,vng++,2,110,0,16,4,1.0
liberatore,none,vng++,2,110,0,16,4,1.0
liberatore,session-random-255,vng++,2,110,0,16,4,1.0
liberatore,packet-random-255,vng++,2,110,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,linear-padding,vng++,2,110,0,16,4,1.0
liberatore,pad-to-mtu,vng++,2,110,0,16,4,1.0
liberatore,none,vng++,2,110,0,16,4,1.0
liberatore,session-random-255,vng++,2,110,0,16,4,1.0
liberatore,packet-random-255,vng++,2,110,0,16,4,0.875
liberatore,session-random-gaussian,vng++,2,110,0,16,4,0.875
liberatore,packet-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,linear-padding,vng++,2,110,0,16,4,1.0
liberatore,pad-to-mtu,vng++,2,110,0,16,4,1.0
liberatore,none,vng++,2,110,0,16,4,1.0
liberatore,session-random-255,vng++,2,110,0,16,4,1.0
liberatore,packet-random-255,vng++,2,110,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,linear-padding,vng++,2,110,0,16,4,1.0
liberatore,pad-to-mtu,vng++,2,110,0,16,4,1.0
liberatore,none,vng++,2,110,0,16,4,1.0
liberatore,session-random-255,vng++,2,110,0,16,4,1.0
liberatore,packet-random-255,vng++,2,110,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,linear-padding,vng++,2,110,0,16,4,1.0
liberatore,pad-to-mtu,vng++,2,110,0,16,4,1.0
liberatore,none,vng++,2,110,0,16,4,1.0
liberatore,session-random-255,vng++,2,110,0,16,4,1.0
liberatore,packet-random-255,vng++,2,110,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,110,0,16,4,1.0
liberatore,linear-padding,vng++,2,110,0,16,4,1.0
liberatore,pad-to-mtu,vng++,2,110,0,16,4,1.0
liberatore,none,vng++,2,110,0,16,4,1.0
liberatore,session-random-255,vng++,2,110,0,16,4,1.0
liberatore,packet-random-255,vng++,2,110,0,16,4,1.0
