dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,vng++,2,48,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,48,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,48,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,48,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,48,0,16,4,1.0
liberatore,none,vng++,2,42,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,42,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,42,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,42,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,42,0,16,4,1.0
liberatore,none,vng++,2,37,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,37,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,37,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,37,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,37,0,16,4,1.0
liberatore,none,vng++,2,48,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,48,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,48,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,48,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,48,0,16,4,1.0
liberatore,none,vng++,2,107,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,107,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,107,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,107,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,107,0,16,4,1.0
liberatore,none,vng++,2,147,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,147,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,147,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,147,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,147,0,16,4,1.0
liberatore,none,vng++,2,159,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,159,0,16,4,0.875
liberatore,packet-random-uniform,vng++,2,159,0,16,4,0.875
liberatore,session-random-gaussian,vng++,2,159,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,159,0,16,4,0.875
liberatore,none,vng++,2,38,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,38,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,38,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,38,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,38,0,16,4,1.0
liberatore,none,vng++,2,14,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,14,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,14,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,14,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,14,0,16,4,1.0
liberatore,none,vng++,2,106,0,16,4,1.0
liberatore,session-random-uniform,vng++,2,106,0,16,4,1.0
liberatore,packet-random-uniform,vng++,2,106,0,16,4,1.0
liberatore,session-random-gaussian,vng++,2,106,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,2,106,0,16,4,1.0
liberatore,none,vng++,4,45,0,16,4,0.875
liberatore,session-random-uniform,vng++,4,45,0,16,4,0.9375
liberatore,packet-random-uniform,vng++,4,45,0,16,4,0.875
liberatore,session-random-gaussian,vng++,4,45,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,4,45,0,16,4,0.875
liberatore,none,vng++,4,123,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,123,0,16,4,1.0
liberatore,packet-random-uniform,vng++,4,123,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,123,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,4,123,0,16,4,1.0
liberatore,none,vng++,4,18,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,18,0,16,4,1.0
liberatore,packet-random-uniform,vng++,4,18,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,18,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,4,18,0,16,4,1.0
liberatore,none,vng++,4,39,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,39,0,16,4,1.0
liberatore,packet-random-uniform,vng++,4,39,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,39,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,4,39,0,16,4,1.0
liberatore,none,vng++,4,88,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,88,0,16,4,1.0
liberatore,packet-random-uniform,vng++,4,88,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,88,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,4,88,0,16,4,1.0
liberatore,none,vng++,4,118,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,118,0,16,4,1.0
liberatore,packet-random-uniform,vng++,4,118,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,118,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,4,118,0,16,4,1.0
liberatore,none,vng++,4,110,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,110,0,16,4,0.9375
liberatore,packet-random-uniform,vng++,4,110,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,110,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,4,110,0,16,4,1.0
liberatore,none,vng++,4,157,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,157,0,16,4,1.0
liberatore,packet-random-uniform,vng++,4,157,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,157,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,4,157,0,16,4,1.0
liberatore,none,vng++,4,68,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,68,0,16,4,0.875
liberatore,packet-random-uniform,vng++,4,68,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,68,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,4,68,0,16,4,1.0
liberatore,none,vng++,4,153,0,16,4,1.0
liberatore,session-random-uniform,vng++,4,153,0,16,4,1.0
liberatore,packet-random-uniform,vng++,4,153,0,16,4,1.0
liberatore,session-random-gaussian,vng++,4,153,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,4,153,0,16,4,1.0
liberatore,none,vng++,8,67,0,16,4,1.0
liberatore,session-random-uniform,vng++,8,67,0,16,4,0.9375
liberatore,packet-random-uniform,vng++,8,67,0,16,4,1.0
liberatore,session-random-gaussian,vng++,8,67,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,8,67,0,16,4,1.0
liberatore,none,vng++,8,171,0,16,4,0.875
liberatore,session-random-uniform,vng++,8,171,0,16,4,0.84375
liberatore,packet-random-uniform,vng++,8,171,0,16,4,0.84375
liberatore,session-random-gaussian,vng++,8,171,0,16,4,0.84375
liberatore,packet-random-gaussian,vng++,8,171,0,16,4,0.8125
liberatore,none,vng++,8,175,0,16,4,1.0
liberatore,session-random-uniform,vng++,8,175,0,16,4,1.0
liberatore,packet-random-uniform,vng++,8,175,0,16,4,1.0
liberatore,session-random-gaussian,vng++,8,175,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,8,175,0,16,4,1.0
liberatore,none,vng++,8,101,0,16,4,0.96875
liberatore,session-random-uniform,vng++,8,101,0,16,4,0.8125
liberatore,packet-random-uniform,vng++,8,101,0,16,4,0.96875
liberatore,session-random-gaussian,vng++,8,101,0,16,4,0.90625
liberatore,packet-random-gaussian,vng++,8,101,0,16,4,0.96875
liberatore,none,vng++,8,23,0,16,4,1.0
liberatore,session-random-uniform,vng++,8,23,0,16,4,1.0
liberatore,packet-random-uniform,vng++,8,23,0,16,4,1.0
liberatore,session-random-gaussian,vng++,8,23,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,8,23,0,16,4,1.0
liberatore,none,vng++,8,184,0,16,4,1.0
liberatore,session-random-uniform,vng++,8,184,0,16,4,1.0
liberatore,packet-random-uniform,vng++,8,184,0,16,4,0.9375
liberatore,session-random-gaussian,vng++,8,184,0,16,4,0.96875
liberatore,packet-random-gaussian,vng++,8,184,0,16,4,0.96875
liberatore,none,vng++,8,74,0,16,4,1.0
liberatore,session-random-uniform,vng++,8,74,0,16,4,0.96875
liberatore,packet-random-uniform,vng++,8,74,0,16,4,0.96875
liberatore,session-random-gaussian,vng++,8,74,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,8,74,0,16,4,1.0
liberatore,none,vng++,8,73,0,16,4,0.96875
liberatore,session-random-uniform,vng++,8,73,0,16,4,1.0
liberatore,packet-random-uniform,vng++,8,73,0,16,4,1.0
liberatore,session-random-gaussian,vng++,8,73,0,16,4,0.96875
liberatore,packet-random-gaussian,vng++,8,73,0,16,4,1.0
liberatore,none,vng++,8,127,0,16,4,1.0
liberatore,session-random-uniform,vng++,8,127,0,16,4,0.9375
liberatore,packet-random-uniform,vng++,8,127,0,16,4,0.96875
liberatore,session-random-gaussian,vng++,8,127,0,16,4,1.0
liberatore,packet-random-gaussian,vng++,8,127,0,16,4,0.96875
liberatore,none,vng++,8,30,0,16,4,0.96875
liberatore,session-random-uniform,vng++,8,30,0,16,4,0.8125
liberatore,packet-random-uniform,vng++,8,30,0,16,4,0.96875
liberatore,session-random-gaussian,vng++,8,30,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,8,30,0,16,4,0.90625
liberatore,none,vng++,16,86,0,16,4,0.9375
liberatore,session-random-uniform,vng++,16,86,0,16,4,0.96875
liberatore,packet-random-uniform,vng++,16,86,0,16,4,0.96875
liberatore,session-random-gaussian,vng++,16,86,0,16,4,0.875
liberatore,packet-random-gaussian,vng++,16,86,0,16,4,0.953125
liberatore,none,vng++,16,5,0,16,4,0.84375
liberatore,session-random-uniform,vng++,16,5,0,16,4,0.75
liberatore,packet-random-uniform,vng++,16,5,0,16,4,0.8125
liberatore,session-random-gaussian,vng++,16,5,0,16,4,0.78125
liberatore,packet-random-gaussian,vng++,16,5,0,16,4,0.796875
liberatore,none,vng++,16,94,0,16,4,0.90625
liberatore,session-random-uniform,vng++,16,94,0,16,4,0.8125
liberatore,packet-random-uniform,vng++,16,94,0,16,4,0.875
liberatore,session-random-gaussian,vng++,16,94,0,16,4,0.890625
liberatore,packet-random-gaussian,vng++,16,94,0,16,4,0.953125
liberatore,none,vng++,16,61,0,16,4,0.796875
liberatore,session-random-uniform,vng++,16,61,0,16,4,0.796875
liberatore,packet-random-uniform,vng++,16,61,0,16,4,0.78125
liberatore,session-random-gaussian,vng++,16,61,0,16,4,0.828125
liberatore,packet-random-gaussian,vng++,16,61,0,16,4,0.828125
liberatore,none,vng++,16,145,0,16,4,0.984375
liberatore,session-random-uniform,vng++,16,145,0,16,4,0.96875
liberatore,packet-random-uniform,vng++,16,145,0,16,4,0.96875
liberatore,session-random-gaussian,vng++,16,145,0,16,4,0.96875
liberatore,packet-random-gaussian,vng++,16,145,0,16,4,0.96875
liberatore,none,vng++,16,38,0,16,4,1.0
liberatore,session-random-uniform,vng++,16,38,0,16,4,1.0
liberatore,packet-random-uniform,vng++,16,38,0,16,4,1.0
liberatore,session-random-gaussian,vng++,16,38,0,16,4,0.984375
liberatore,packet-random-gaussian,vng++,16,38,0,16,4,1.0
liberatore,none,vng++,16,130,0,16,4,0.953125
liberatore,session-random-uniform,vng++,16,130,0,16,4,0.875
liberatore,packet-random-uniform,vng++,16,130,0,16,4,0.96875
liberatore,session-random-gaussian,vng++,16,130,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,16,130,0,16,4,0.9375
liberatore,none,vng++,16,18,0,16,4,0.9375
liberatore,session-random-uniform,vng++,16,18,0,16,4,0.84375
liberatore,packet-random-uniform,vng++,16,18,0,16,4,0.90625
liberatore,session-random-gaussian,vng++,16,18,0,16,4,0.84375
liberatore,packet-random-gaussian,vng++,16,18,0,16,4,0.953125
liberatore,none,vng++,16,54,0,16,4,0.953125
liberatore,session-random-uniform,vng++,16,54,0,16,4,0.953125
liberatore,packet-random-uniform,vng++,16,54,0,16,4,0.953125
liberatore,session-random-gaussian,vng++,16,54,0,16,4,0.96875
liberatore,packet-random-gaussian,vng++,16,54,0,16,4,0.90625
liberatore,none,vng++,16,38,0,16,4,0.96875
liberatore,session-random-uniform,vng++,16,38,0,16,4,0.953125
liberatore,packet-random-uniform,vng++,16,38,0,16,4,0.921875
liberatore,session-random-gaussian,vng++,16,38,0,16,4,0.9375
liberatore,packet-random-gaussian,vng++,16,38,0,16,4,0.9375
liberatore,none,vng++,32,176,0,16,4,0.859375
liberatore,session-random-uniform,vng++,32,176,0,16,4,0.8359375
liberatore,packet-random-uniform,vng++,32,176,0,16,4,0.875
liberatore,session-random-gaussian,vng++,32,176,0,16,4,0.8515625
liberatore,packet-random-gaussian,vng++,32,176,0,16,4,0.90625
liberatore,none,vng++,32,17,0,16,4,0.953125
liberatore,session-random-uniform,vng++,32,17,0,16,4,0.890625
liberatore,packet-random-uniform,vng++,32,17,0,16,4,0.9453125
liberatore,session-random-gaussian,vng++,32,17,0,16,4,0.8984375
liberatore,packet-random-gaussian,vng++,32,17,0,16,4,0.921875
liberatore,none,vng++,32,165,0,16,4,0.9453125
liberatore,session-random-uniform,vng++,32,165,0,16,4,0.921875
liberatore,packet-random-uniform,vng++,32,165,0,16,4,0.9296875
liberatore,session-random-gaussian,vng++,32,165,0,16,4,0.9140625
liberatore,packet-random-gaussian,vng++,32,165,0,16,4,0.9453125
liberatore,none,vng++,32,102,0,16,4,0.8671875
liberatore,session-random-uniform,vng++,32,102,0,16,4,0.796875
liberatore,packet-random-uniform,vng++,32,102,0,16,4,0.8203125
liberatore,session-random-gaussian,vng++,32,102,0,16,4,0.859375
liberatore,packet-random-gaussian,vng++,32,102,0,16,4,0.8359375
liberatore,none,vng++,32,171,0,16,4,0.84375
liberatore,session-random-uniform,vng++,32,171,0,16,4,0.7890625
liberatore,packet-random-uniform,vng++,32,171,0,16,4,0.84375
liberatore,session-random-gaussian,vng++,32,171,0,16,4,0.8125
liberatore,packet-random-gaussian,vng++,32,171,0,16,4,0.8125
liberatore,none,vng++,32,107,0,16,4,0.9140625
liberatore,session-random-uniform,vng++,32,107,0,16,4,0.828125
liberatore,packet-random-uniform,vng++,32,107,0,16,4,0.8828125
liberatore,session-random-gaussian,vng++,32,107,0,16,4,0.8828125
liberatore,packet-random-gaussian,vng++,32,107,0,16,4,0.921875
liberatore,none,vng++,32,81,0,16,4,0.9375
