dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,CUMUL,128,26,0,45,4,0.853515625
liberatore,session-random-255,CUMUL,128,26,0,45,4,0.828125
liberatore,packet-random-255,CUMUL,128,26,0,45,4,0.822265625
liberatore,session-random-gaussian,CUMUL,128,26,0,45,4,0.828125
liberatore,packet-random-gaussian,CUMUL,128,26,0,45,4,0.83203125
liberatore,none,CUMUL,128,141,0,45,4,0.904296875
liberatore,session-random-255,CUMUL,128,141,0,45,4,0.8828125
liberatore,packet-random-255,CUMUL,128,141,0,45,4,0.884765625
liberatore,session-random-gaussian,CUMUL,128,141,0,45,4,0.869140625
liberatore,packet-random-gaussian,CUMUL,128,141,0,45,4,0.8828125
liberatore,none,CUMUL,128,90,0,45,4,0.85546875
liberatore,session-random-255,CUMUL,128,90,0,45,4,0.84375
liberatore,packet-random-255,CUMUL,128,90,0,45,4,0.853515625
liberatore,session-random-gaussian,CUMUL,128,90,0,45,4,0.845703125
liberatore,packet-random-gaussian,CUMUL,128,90,0,45,4,0.845703125
liberatore,none,CUMUL,128,66,0,45,4,0.84765625
liberatore,session-random-255,CUMUL,128,66,0,45,4,0.833984375
liberatore,packet-random-255,CUMUL,128,66,0,45,4,0.83984375
liberatore,session-random-gaussian,CUMUL,128,66,0,45,4,0.83984375
liberatore,packet-random-gaussian,CUMUL,128,66,0,45,4,0.8359375
liberatore,none,CUMUL,128,81,0,45,4,0.822265625
liberatore,session-random-255,CUMUL,128,81,0,45,4,0.80078125
liberatore,packet-random-255,CUMUL,128,81,0,45,4,0.8046875
liberatore,session-random-gaussian,CUMUL,128,81,0,45,4,0.80859375
liberatore,packet-random-gaussian,CUMUL,128,81,0,45,4,0.8203125
liberatore,none,CUMUL,128,41,0,45,4,0.84765625
liberatore,session-random-255,CUMUL,128,41,0,45,4,0.826171875
liberatore,packet-random-255,CUMUL,128,41,0,45,4,0.830078125
liberatore,session-random-gaussian,CUMUL,128,41,0,45,4,0.82421875
liberatore,packet-random-gaussian,CUMUL,128,41,0,45,4,0.83203125
liberatore,none,CUMUL,128,12,0,45,4,0.806640625
liberatore,session-random-255,CUMUL,128,12,0,45,4,0.7890625
liberatore,packet-random-255,CUMUL,128,12,0,45,4,0.80078125
liberatore,session-random-gaussian,CUMUL,128,12,0,45,4,0.798828125
liberatore,packet-random-gaussian,CUMUL,128,12,0,45,4,0.80078125
liberatore,none,CUMUL,128,104,0,45,4,0.869140625
liberatore,session-random-255,CUMUL,128,104,0,45,4,0.853515625
liberatore,packet-random-255,CUMUL,128,104,0,45,4,0.859375
liberatore,session-random-gaussian,CUMUL,128,104,0,45,4,0.853515625
liberatore,packet-random-gaussian,CUMUL,128,104,0,45,4,0.849609375
liberatore,none,CUMUL,128,144,0,45,4,0.861328125
liberatore,session-random-255,CUMUL,128,144,0,45,4,0.83203125
liberatore,packet-random-255,CUMUL,128,144,0,45,4,0.837890625
liberatore,session-random-gaussian,CUMUL,128,144,0,45,4,0.857421875
liberatore,packet-random-gaussian,CUMUL,128,144,0,45,4,0.857421875
liberatore,none,CUMUL,128,135,0,45,4,0.880859375
liberatore,session-random-255,CUMUL,128,135,0,45,4,0.845703125
liberatore,packet-random-255,CUMUL,128,135,0,45,4,0.8515625
liberatore,session-random-gaussian,CUMUL,128,135,0,45,4,0.8671875
liberatore,packet-random-gaussian,CUMUL,128,135,0,45,4,0.865234375
liberatore,none,CUMUL,128,29,0,45,4,0.89453125
liberatore,session-random-255,CUMUL,128,29,0,45,4,0.87109375
liberatore,packet-random-255,CUMUL,128,29,0,45,4,0.880859375
liberatore,session-random-gaussian,CUMUL,128,29,0,45,4,0.876953125
liberatore,packet-random-gaussian,CUMUL,128,29,0,45,4,0.896484375
liberatore,none,CUMUL,128,60,0,45,4,0.900390625
liberatore,session-random-255,CUMUL,128,60,0,45,4,0.84765625
liberatore,packet-random-255,CUMUL,128,60,0,45,4,0.884765625
liberatore,session-random-gaussian,CUMUL,128,60,0,45,4,0.869140625
liberatore,packet-random-gaussian,CUMUL,128,60,0,45,4,0.8828125
liberatore,none,CUMUL,128,120,0,45,4,0.8359375
liberatore,session-random-255,CUMUL,128,120,0,45,4,0.828125
liberatore,packet-random-255,CUMUL,128,120,0,45,4,0.830078125
liberatore,session-random-gaussian,CUMUL,128,120,0,45,4,0.830078125
liberatore,packet-random-gaussian,CUMUL,128,120,0,45,4,0.828125
liberatore,none,CUMUL,128,109,0,45,4,0.861328125
liberatore,session-random-255,CUMUL,128,109,0,45,4,0.8515625
liberatore,packet-random-255,CUMUL,128,109,0,45,4,0.841796875
liberatore,session-random-gaussian,CUMUL,128,109,0,45,4,0.849609375
liberatore,packet-random-gaussian,CUMUL,128,109,0,45,4,0.84375
liberatore,none,CUMUL,128,87,0,45,4,0.890625
liberatore,session-random-255,CUMUL,128,87,0,45,4,0.873046875
liberatore,packet-random-255,CUMUL,128,87,0,45,4,0.876953125
liberatore,session-random-gaussian,CUMUL,128,87,0,45,4,0.873046875
liberatore,packet-random-gaussian,CUMUL,128,87,0,45,4,0.87890625
liberatore,none,CUMUL,128,61,0,45,4,0.833984375
liberatore,session-random-255,CUMUL,128,61,0,45,4,0.828125
liberatore,packet-random-255,CUMUL,128,61,0,45,4,0.810546875
liberatore,session-random-gaussian,CUMUL,128,61,0,45,4,0.828125
liberatore,packet-random-gaussian,CUMUL,128,61,0,45,4,0.828125
liberatore,none,CUMUL,128,22,0,45,4,0.849609375
liberatore,session-random-255,CUMUL,128,22,0,45,4,0.818359375
liberatore,packet-random-255,CUMUL,128,22,0,45,4,0.81640625
liberatore,session-random-gaussian,CUMUL,128,22,0,45,4,0.822265625
liberatore,packet-random-gaussian,CUMUL,128,22,0,45,4,0.830078125
liberatore,none,CUMUL,128,55,0,45,4,0.8671875
liberatore,session-random-255,CUMUL,128,55,0,45,4,0.83203125
liberatore,packet-random-255,CUMUL,128,55,0,45,4,0.85546875
liberatore,session-random-gaussian,CUMUL,128,55,0,45,4,0.853515625
liberatore,packet-random-gaussian,CUMUL,128,55,0,45,4,0.85546875
liberatore,none,CUMUL,128,101,0,45,4,0.86328125
liberatore,session-random-255,CUMUL,128,101,0,45,4,0.865234375
liberatore,packet-random-255,CUMUL,128,101,0,45,4,0.853515625
liberatore,session-random-gaussian,CUMUL,128,101,0,45,4,0.86328125
liberatore,packet-random-gaussian,CUMUL,128,101,0,45,4,0.861328125
liberatore,none,CUMUL,128,121,0,45,4,0.861328125
liberatore,session-random-255,CUMUL,128,121,0,45,4,0.845703125
liberatore,packet-random-255,CUMUL,128,121,0,45,4,0.837890625
liberatore,session-random-gaussian,CUMUL,128,121,0,45,4,0.845703125
liberatore,packet-random-gaussian,CUMUL,128,121,0,45,4,0.8515625
liberatore,none,CUMUL,128,120,0,45,4,0.837890625
liberatore,session-random-255,CUMUL,128,120,0,45,4,0.81640625
liberatore,packet-random-255,CUMUL,128,120,0,45,4,0.83203125
