dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,liberatore,128,28,0,4,4,0.875
liberatore,none,herrmann,128,105,0,4,4,0.876953125
liberatore,session-random-255,liberatore,128,108,0,4,4,0.1640625
liberatore,session-random-255,herrmann,128,189,0,4,4,0.12109375
liberatore,packet-random-255,liberatore,128,37,0,4,4,0.244140625
liberatore,packet-random-255,herrmann,128,87,0,4,4,0.181640625
liberatore,session-random-gaussian,liberatore,128,73,0,4,4,0.064453125
liberatore,session-random-gaussian,herrmann,128,19,0,4,4,0.02734375
liberatore,packet-random-gaussian,liberatore,128,194,0,4,4,0.177734375
liberatore,packet-random-gaussian,herrmann,128,0,0,4,4,0.09765625
liberatore,none,liberatore,128,179,0,4,4,0.869140625
liberatore,none,herrmann,128,180,0,4,4,0.900390625
liberatore,session-random-255,liberatore,128,35,0,4,4,0.125
liberatore,session-random-255,herrmann,128,94,0,4,4,0.060546875
liberatore,packet-random-255,liberatore,128,136,0,4,4,0.234375
liberatore,packet-random-255,herrmann,128,14,0,4,4,0.16015625
liberatore,session-random-gaussian,liberatore,128,47,0,4,4,0.044921875
liberatore,session-random-gaussian,herrmann,128,146,0,4,4,0.025390625
liberatore,packet-random-gaussian,liberatore,128,60,0,4,4,0.19140625
liberatore,packet-random-gaussian,herrmann,128,67,0,4,4,0.052734375
liberatore,none,liberatore,128,67,0,4,4,0.884765625
liberatore,none,herrmann,128,130,0,4,4,0.908203125
liberatore,session-random-255,liberatore,128,73,0,4,4,0.16015625
liberatore,session-random-255,herrmann,128,0,0,4,4,0.0703125
liberatore,packet-random-255,liberatore,128,194,0,4,4,0.216796875
liberatore,packet-random-255,herrmann,128,10,0,4,4,0.126953125
liberatore,session-random-gaussian,liberatore,128,77,0,4,4,0.056640625
liberatore,session-random-gaussian,herrmann,128,192,0,4,4,0.0234375
liberatore,packet-random-gaussian,liberatore,128,177,0,4,4,0.193359375
liberatore,packet-random-gaussian,herrmann,128,141,0,4,4,0.072265625
liberatore,none,liberatore,128,184,0,4,4,0.8671875
liberatore,none,herrmann,128,33,0,4,4,0.91796875
liberatore,session-random-255,liberatore,128,117,0,4,4,0.1328125
liberatore,session-random-255,herrmann,128,53,0,4,4,0.087890625
liberatore,packet-random-255,liberatore,128,127,0,4,4,0.216796875
liberatore,packet-random-255,herrmann,128,89,0,4,4,0.12890625
liberatore,session-random-gaussian,liberatore,128,25,0,4,4,0.064453125
liberatore,session-random-gaussian,herrmann,128,58,0,4,4,0.03515625
liberatore,packet-random-gaussian,liberatore,128,176,0,4,4,0.1875
liberatore,packet-random-gaussian,herrmann,128,144,0,4,4,0.060546875
liberatore,none,liberatore,128,182,0,4,4,0.890625
liberatore,none,herrmann,128,98,0,4,4,0.912109375
liberatore,session-random-255,liberatore,128,58,0,4,4,0.15234375
liberatore,session-random-255,herrmann,128,149,0,4,4,0.0703125
liberatore,packet-random-255,liberatore,128,49,0,4,4,0.22265625
liberatore,packet-random-255,herrmann,128,148,0,4,4,0.1796875
liberatore,session-random-gaussian,liberatore,128,16,0,4,4,0.048828125
liberatore,session-random-gaussian,herrmann,128,130,0,4,4,0.013671875
liberatore,packet-random-gaussian,liberatore,128,149,0,4,4,0.201171875
liberatore,packet-random-gaussian,herrmann,128,163,0,4,4,0.08203125
liberatore,none,liberatore,128,74,0,4,4,0.857421875
liberatore,none,herrmann,128,122,0,4,4,0.8671875
liberatore,session-random-255,liberatore,128,187,0,4,4,0.111328125
liberatore,session-random-255,herrmann,128,98,0,4,4,0.072265625
liberatore,packet-random-255,liberatore,128,107,0,4,4,0.205078125
liberatore,packet-random-255,herrmann,128,110,0,4,4,0.126953125
liberatore,session-random-gaussian,liberatore,128,121,0,4,4,0.046875
liberatore,session-random-gaussian,herrmann,128,114,0,4,4,0.02734375
liberatore,packet-random-gaussian,liberatore,128,193,0,4,4,0.1328125
liberatore,packet-random-gaussian,herrmann,128,64,0,4,4,0.05078125
liberatore,none,liberatore,128,60,0,4,4,0.88671875
liberatore,none,herrmann,128,42,0,4,4,0.884765625
liberatore,session-random-255,liberatore,128,191,0,4,4,0.15234375
liberatore,session-random-255,herrmann,128,136,0,4,4,0.099609375
liberatore,packet-random-255,liberatore,128,26,0,4,4,0.220703125
liberatore,packet-random-255,herrmann,128,47,0,4,4,0.13671875
liberatore,session-random-gaussian,liberatore,128,152,0,4,4,0.04296875
liberatore,session-random-gaussian,herrmann,128,193,0,4,4,0.02734375
liberatore,packet-random-gaussian,liberatore,128,174,0,4,4,0.166015625
liberatore,packet-random-gaussian,herrmann,128,157,0,4,4,0.064453125
liberatore,none,liberatore,128,113,0,4,4,0.875
liberatore,none,herrmann,128,130,0,4,4,0.908203125
liberatore,session-random-255,liberatore,128,62,0,4,4,0.130859375
liberatore,session-random-255,herrmann,128,46,0,4,4,0.06640625
liberatore,packet-random-255,liberatore,128,89,0,4,4,0.2265625
liberatore,packet-random-255,herrmann,128,136,0,4,4,0.138671875
liberatore,session-random-gaussian,liberatore,128,90,0,4,4,0.05859375
liberatore,session-random-gaussian,herrmann,128,99,0,4,4,0.021484375
liberatore,packet-random-gaussian,liberatore,128,148,0,4,4,0.2109375
liberatore,packet-random-gaussian,herrmann,128,19,0,4,4,0.041015625
liberatore,none,liberatore,128,55,0,4,4,0.900390625
liberatore,none,herrmann,128,129,0,4,4,0.919921875
liberatore,session-random-255,liberatore,128,37,0,4,4,0.119140625
liberatore,session-random-255,herrmann,128,100,0,4,4,0.056640625
liberatore,packet-random-255,liberatore,128,137,0,4,4,0.25
liberatore,packet-random-255,herrmann,128,106,0,4,4,0.201171875
liberatore,session-random-gaussian,liberatore,128,152,0,4,4,0.0625
liberatore,session-random-gaussian,herrmann,128,15,0,4,4,0.044921875
liberatore,packet-random-gaussian,liberatore,128,180,0,4,4,0.150390625
liberatore,packet-random-gaussian,herrmann,128,173,0,4,4,0.08984375
