dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,panchenko,128,46,0,18,4,0.91015625
liberatore,session-random-255,panchenko,128,70,0,18,4,0.75
liberatore,packet-random-255,panchenko,128,64,0,18,4,0.814453125
liberatore,session-random-gaussian,panchenko,128,105,0,18,4,0.744140625
liberatore,packet-random-gaussian,panchenko,128,62,0,18,4,0.80078125
liberatore,none,panchenko,128,29,0,18,4,0.935546875
liberatore,session-random-255,panchenko,128,125,0,18,4,0.78125
liberatore,packet-random-255,panchenko,128,117,0,18,4,0.85546875
liberatore,session-random-gaussian,panchenko,128,123,0,18,4,0.78125
liberatore,packet-random-gaussian,panchenko,128,27,0,18,4,0.837890625
liberatore,none,panchenko,128,2,0,18,4,0.927734375
liberatore,session-random-255,panchenko,128,26,0,18,4,0.74609375
liberatore,packet-random-255,panchenko,128,8,0,18,4,0.82421875
liberatore,session-random-gaussian,panchenko,128,62,0,18,4,0.748046875
liberatore,packet-random-gaussian,panchenko,128,145,0,18,4,0.81640625
liberatore,none,panchenko,128,8,0,18,4,0.9140625
liberatore,session-random-255,panchenko,128,59,0,18,4,0.732421875
liberatore,packet-random-255,panchenko,128,166,0,18,4,0.82421875
liberatore,session-random-gaussian,panchenko,128,18,0,18,4,0.755859375
liberatore,packet-random-gaussian,panchenko,128,151,0,18,4,0.822265625
liberatore,none,panchenko,128,164,0,18,4,0.900390625
liberatore,session-random-255,panchenko,128,38,0,18,4,0.73046875
liberatore,packet-random-255,panchenko,128,18,0,18,4,0.79296875
liberatore,session-random-gaussian,panchenko,128,4,0,18,4,0.732421875
liberatore,packet-random-gaussian,panchenko,128,25,0,18,4,0.8046875
liberatore,none,panchenko,128,124,0,18,4,0.900390625
liberatore,session-random-255,panchenko,128,182,0,18,4,0.734375
liberatore,packet-random-255,panchenko,128,168,0,18,4,0.7734375
liberatore,session-random-gaussian,panchenko,128,116,0,18,4,0.734375
liberatore,packet-random-gaussian,panchenko,128,49,0,18,4,0.77734375
liberatore,none,panchenko,128,108,0,18,4,0.93359375
liberatore,session-random-255,panchenko,128,164,0,18,4,0.751953125
liberatore,packet-random-255,panchenko,128,137,0,18,4,0.845703125
liberatore,session-random-gaussian,panchenko,128,78,0,18,4,0.765625
liberatore,packet-random-gaussian,panchenko,128,142,0,18,4,0.837890625
liberatore,none,panchenko,128,113,0,18,4,0.89453125
liberatore,session-random-255,panchenko,128,157,0,18,4,0.708984375
liberatore,packet-random-255,panchenko,128,80,0,18,4,0.76171875
liberatore,session-random-gaussian,panchenko,128,5,0,18,4,0.7421875
liberatore,packet-random-gaussian,panchenko,128,63,0,18,4,0.796875
liberatore,none,panchenko,128,158,0,18,4,0.95703125
liberatore,session-random-255,panchenko,128,159,0,18,4,0.810546875
liberatore,packet-random-255,panchenko,128,157,0,18,4,0.876953125
liberatore,session-random-gaussian,panchenko,128,137,0,18,4,0.833984375
liberatore,packet-random-gaussian,panchenko,128,29,0,18,4,0.892578125
liberatore,none,panchenko,128,125,0,18,4,0.904296875
liberatore,session-random-255,panchenko,128,130,0,18,4,0.720703125
liberatore,packet-random-255,panchenko,128,147,0,18,4,0.77734375
liberatore,session-random-gaussian,panchenko,128,129,0,18,4,0.72265625
liberatore,packet-random-gaussian,panchenko,128,61,0,18,4,0.779296875
liberatore,none,panchenko,128,84,0,18,4,0.880859375
liberatore,session-random-255,panchenko,128,13,0,18,4,0.751953125
liberatore,packet-random-255,panchenko,128,121,0,18,4,0.8125
liberatore,session-random-gaussian,panchenko,128,107,0,18,4,0.73046875
liberatore,packet-random-gaussian,panchenko,128,160,0,18,4,0.80078125
liberatore,none,panchenko,128,61,0,18,4,0.93359375
liberatore,session-random-255,panchenko,128,21,0,18,4,0.783203125
liberatore,packet-random-255,panchenko,128,66,0,18,4,0.845703125
liberatore,session-random-gaussian,panchenko,128,14,0,18,4,0.78515625
liberatore,packet-random-gaussian,panchenko,128,127,0,18,4,0.84375
liberatore,none,panchenko,128,82,0,18,4,0.884765625
liberatore,session-random-255,panchenko,128,81,0,18,4,0.744140625
liberatore,packet-random-255,panchenko,128,114,0,18,4,0.818359375
liberatore,session-random-gaussian,panchenko,128,59,0,18,4,0.775390625
liberatore,packet-random-gaussian,panchenko,128,61,0,18,4,0.833984375
liberatore,none,panchenko,128,113,0,18,4,0.8125
liberatore,session-random-255,panchenko,128,116,0,18,4,0.65234375
liberatore,packet-random-255,panchenko,128,37,0,18,4,0.732421875
liberatore,session-random-gaussian,panchenko,128,172,0,18,4,0.63671875
liberatore,packet-random-gaussian,panchenko,128,139,0,18,4,0.748046875
liberatore,none,panchenko,128,57,0,18,4,0.91796875
liberatore,session-random-255,panchenko,128,115,0,18,4,0.748046875
liberatore,packet-random-255,panchenko,128,152,0,18,4,0.85546875
liberatore,session-random-gaussian,panchenko,128,143,0,18,4,0.74609375
liberatore,packet-random-gaussian,panchenko,128,159,0,18,4,0.83984375
liberatore,none,panchenko,128,4,0,18,4,0.91015625
liberatore,session-random-255,panchenko,128,55,0,18,4,0.755859375
liberatore,packet-random-255,panchenko,128,177,0,18,4,0.822265625
liberatore,session-random-gaussian,panchenko,128,152,0,18,4,0.7578125
liberatore,packet-random-gaussian,panchenko,128,87,0,18,4,0.826171875
liberatore,none,panchenko,128,134,0,18,4,0.89453125
liberatore,session-random-255,panchenko,128,106,0,18,4,0.732421875
liberatore,packet-random-255,panchenko,128,179,0,18,4,0.794921875
liberatore,session-random-gaussian,panchenko,128,29,0,18,4,0.71484375
liberatore,packet-random-gaussian,panchenko,128,50,0,18,4,0.783203125
liberatore,none,panchenko,128,154,0,18,4,0.904296875
liberatore,session-random-255,panchenko,128,182,0,18,4,0.693359375
liberatore,packet-random-255,panchenko,128,86,0,18,4,0.787109375
liberatore,session-random-gaussian,panchenko,128,51,0,18,4,0.705078125
liberatore,packet-random-gaussian,panchenko,128,50,0,18,4,0.796875
liberatore,none,panchenko,128,135,0,18,4,0.916015625
liberatore,session-random-255,panchenko,128,7,0,18,4,0.703125
liberatore,packet-random-255,panchenko,128,44,0,18,4,0.791015625
liberatore,session-random-gaussian,panchenko,128,57,0,18,4,0.6953125
liberatore,packet-random-gaussian,panchenko,128,69,0,18,4,0.810546875
liberatore,none,panchenko,128,103,0,18,4,0.908203125
liberatore,session-random-255,panchenko,128,5,0,18,4,0.740234375
liberatore,packet-random-255,panchenko,128,164,0,18,4,0.814453125
liberatore,session-random-gaussian,panchenko,128,12,0,18,4,0.732421875
liberatore,packet-random-gaussian,panchenko,128,148,0,18,4,0.828125
liberatore,none,panchenko,128,132,0,18,4,0.91796875
liberatore,session-random-255,panchenko,128,175,0,18,4,0.755859375
liberatore,packet-random-255,panchenko,128,3,0,18,4,0.80078125
liberatore,session-random-gaussian,panchenko,128,27,0,18,4,0.79296875
liberatore,packet-random-gaussian,panchenko,128,42,0,18,4,0.798828125
liberatore,none,panchenko,128,33,0,18,4,0.861328125
liberatore,session-random-255,panchenko,128,62,0,18,4,0.623046875
liberatore,packet-random-255,panchenko,128,151,0,18,4,0.748046875
liberatore,session-random-gaussian,panchenko,128,9,0,18,4,0.6484375
liberatore,packet-random-gaussian,panchenko,128,112,0,18,4,0.74609375
liberatore,none,panchenko,128,99,0,18,4,0.8984375
liberatore,session-random-255,panchenko,128,113,0,18,4,0.697265625
liberatore,packet-random-255,panchenko,128,126,0,18,4,0.81640625
liberatore,session-random-gaussian,panchenko,128,159,0,18,4,0.75390625
liberatore,packet-random-gaussian,panchenko,128,117,0,18,4,0.814453125
liberatore,none,panchenko,128,49,0,18,4,0.904296875
liberatore,session-random-255,panchenko,128,93,0,18,4,0.759765625
liberatore,packet-random-255,panchenko,128,80,0,18,4,0.7734375
liberatore,session-random-gaussian,panchenko,128,13,0,18,4,0.724609375
liberatore,packet-random-gaussian,panchenko,128,138,0,18,4,0.798828125
liberatore,none,panchenko,128,34,0,18,4,0.92578125
liberatore,session-random-255,panchenko,128,159,0,18,4,0.72265625
liberatore,packet-random-255,panchenko,128,160,0,18,4,0.794921875
liberatore,session-random-gaussian,panchenko,128,142,0,18,4,0.748046875
liberatore,packet-random-gaussian,panchenko,128,165,0,18,4,0.80859375
liberatore,none,panchenko,128,126,0,18,4,0.904296875
liberatore,session-random-255,panchenko,128,44,0,18,4,0.701171875
liberatore,packet-random-255,panchenko,128,79,0,18,4,0.794921875
liberatore,session-random-gaussian,panchenko,128,79,0,18,4,0.712890625
liberatore,packet-random-gaussian,panchenko,128,64,0,18,4,0.794921875
liberatore,none,panchenko,128,69,0,18,4,0.921875
liberatore,session-random-255,panchenko,128,73,0,18,4,0.734375
liberatore,packet-random-255,panchenko,128,137,0,18,4,0.822265625
liberatore,session-random-gaussian,panchenko,128,56,0,18,4,0.748046875
liberatore,packet-random-gaussian,panchenko,128,180,0,18,4,0.806640625
liberatore,none,panchenko,128,182,0,18,4,0.91015625
liberatore,session-random-255,panchenko,128,101,0,18,4,0.728515625
liberatore,packet-random-255,panchenko,128,139,0,18,4,0.8515625
liberatore,session-random-gaussian,panchenko,128,41,0,18,4,0.765625
liberatore,packet-random-gaussian,panchenko,128,161,0,18,4,0.84765625
liberatore,none,panchenko,128,60,0,18,4,0.87109375
liberatore,session-random-255,panchenko,128,170,0,18,4,0.697265625
liberatore,packet-random-255,panchenko,128,47,0,18,4,0.78515625
liberatore,session-random-gaussian,panchenko,128,47,0,18,4,0.708984375
liberatore,packet-random-gaussian,panchenko,128,21,0,18,4,0.787109375
liberatore,none,panchenko,128,83,0,18,4,0.888671875
liberatore,session-random-255,panchenko,128,173,0,18,4,0.671875
liberatore,packet-random-255,panchenko,128,145,0,18,4,0.744140625
liberatore,session-random-gaussian,panchenko,128,41,0,18,4,0.69921875
liberatore,packet-random-gaussian,panchenko,128,148,0,18,4,0.76953125
liberatore,none,panchenko,128,148,0,18,4,0.921875
liberatore,session-random-255,panchenko,128,133,0,18,4,0.75
liberatore,packet-random-255,panchenko,128,108,0,18,4,0.849609375
liberatore,session-random-gaussian,panchenko,128,12,0,18,4,0.779296875
liberatore,packet-random-gaussian,panchenko,128,151,0,18,4,0.84375
liberatore,none,panchenko,128,5,0,18,4,0.86328125
