dataset,defense,attack,sites,train_offset,train_test_delta,train_examples,test_examples,score
liberatore,none,vng++,128,170,0,16,4,0.81640625
liberatore,session-random-uniform,vng++,128,170,0,16,4,0.73828125
liberatore,packet-random-uniform,vng++,128,170,0,16,4,0.794921875
liberatore,session-random-gaussian,vng++,128,170,0,16,4,0.765625
liberatore,packet-random-gaussian,vng++,128,170,0,16,4,0.794921875
liberatore,none,vng++,128,49,0,16,4,0.8125
liberatore,session-random-uniform,vng++,128,49,0,16,4,0.767578125
liberatore,packet-random-uniform,vng++,128,49,0,16,4,0.77734375
liberatore,session-random-gaussian,vng++,128,49,0,16,4,0.76953125
liberatore,packet-random-gaussian,vng++,128,49,0,16,4,0.779296875
liberatore,none,vng++,128,88,0,16,4,0.826171875
liberatore,session-random-uniform,vng++,128,88,0,16,4,0.740234375
liberatore,packet-random-uniform,vng++,128,88,0,16,4,0.794921875
liberatore,session-random-gaussian,vng++,128,88,0,16,4,0.76953125
liberatore,packet-random-gaussian,vng++,128,88,0,16,4,0.8046875
liberatore,none,vng++,128,79,0,16,4,0.859375
liberatore,session-random-uniform,vng++,128,79,0,16,4,0.76953125
liberatore,packet-random-uniform,vng++,128,79,0,16,4,0.81640625
liberatore,session-random-gaussian,vng++,128,79,0,16,4,0.7890625
liberatore,packet-random-gaussian,vng++,128,79,0,16,4,0.83984375
liberatore,none,vng++,128,75,0,16,4,0.794921875
liberatore,session-random-uniform,vng++,128,75,0,16,4,0.712890625
liberatore,packet-random-uniform,vng++,128,75,0,16,4,0.76171875
liberatore,session-random-gaussian,vng++,128,75,0,16,4,0.744140625
liberatore,packet-random-gaussian,vng++,128,75,0,16,4,0.7734375
liberatore,none,vng++,128,178,0,16,4,0.853515625
liberatore,session-random-uniform,vng++,128,178,0,16,4,0.76171875
liberatore,packet-random-uniform,vng++,128,178,0,16,4,0.796875
liberatore,session-random-gaussian,vng++,128,178,0,16,4,0.810546875
liberatore,packet-random-gaussian,vng++,128,178,0,16,4,0.8203125
liberatore,none,vng++,128,125,0,16,4,0.78125
liberatore,session-random-uniform,vng++,128,125,0,16,4,0.7265625
liberatore,packet-random-uniform,vng++,128,125,0,16,4,0.7578125
liberatore,session-random-gaussian,vng++,128,125,0,16,4,0.734375
liberatore,packet-random-gaussian,vng++,128,125,0,16,4,0.76171875
liberatore,none,vng++,128,45,0,16,4,0.822265625
liberatore,session-random-uniform,vng++,128,45,0,16,4,0.744140625
liberatore,packet-random-uniform,vng++,128,45,0,16,4,0.806640625
liberatore,session-random-gaussian,vng++,128,45,0,16,4,0.78515625
liberatore,packet-random-gaussian,vng++,128,45,0,16,4,0.822265625
liberatore,none,vng++,128,124,0,16,4,0.79296875
liberatore,session-random-uniform,vng++,128,124,0,16,4,0.71875
liberatore,packet-random-uniform,vng++,128,124,0,16,4,0.78125
liberatore,session-random-gaussian,vng++,128,124,0,16,4,0.771484375
liberatore,packet-random-gaussian,vng++,128,124,0,16,4,0.80078125
liberatore,none,vng++,128,150,0,16,4,0.828125
liberatore,session-random-uniform,vng++,128,150,0,16,4,0.802734375
liberatore,packet-random-uniform,vng++,128,150,0,16,4,0.82421875
liberatore,session-random-gaussian,vng++,128,150,0,16,4,0.810546875
liberatore,packet-random-gaussian,vng++,128,150,0,16,4,0.828125
liberatore,none,vng++,128,110,0,16,4,0.861328125
liberatore,session-random-uniform,vng++,128,110,0,16,4,0.75
liberatore,packet-random-uniform,vng++,128,110,0,16,4,0.794921875
liberatore,session-random-gaussian,vng++,128,110,0,16,4,0.78515625
liberatore,packet-random-gaussian,vng++,128,110,0,16,4,0.8359375
liberatore,none,vng++,128,174,0,16,4,0.853515625
liberatore,session-random-uniform,vng++,128,174,0,16,4,0.806640625
liberatore,packet-random-uniform,vng++,128,174,0,16,4,0.83203125
liberatore,session-random-gaussian,vng++,128,174,0,16,4,0.841796875
liberatore,packet-random-gaussian,vng++,128,174,0,16,4,0.845703125
liberatore,none,vng++,128,138,0,16,4,0.845703125
liberatore,session-random-uniform,vng++,128,138,0,16,4,0.74609375
liberatore,packet-random-uniform,vng++,128,138,0,16,4,0.80859375
liberatore,session-random-gaussian,vng++,128,138,0,16,4,0.79296875
liberatore,packet-random-gaussian,vng++,128,138,0,16,4,0.810546875
